=== 2-trade hops within 500 timestamp units (same day) ===
('Mark 01', 'Mark 22', 'Mark 01', 'Mark 22'): 1010
('Mark 14', 'Mark 38', 'Mark 14', 'Mark 38'): 81
('Mark 14', 'Mark 22', 'Mark 01', 'Mark 22'): 79
('Mark 38', 'Mark 14', 'Mark 38', 'Mark 14'): 77
('Mark 38', 'Mark 14', 'Mark 14', 'Mark 38'): 62
('Mark 14', 'Mark 38', 'Mark 38', 'Mark 14'): 60
('Mark 38', 'Mark 14', 'Mark 55', 'Mark 14'): 45
('Mark 14', 'Mark 55', 'Mark 14', 'Mark 38'): 38
('Mark 14', 'Mark 55', 'Mark 38', 'Mark 14'): 36
('Mark 14', 'Mark 38', 'Mark 01', 'Mark 22'): 34
('Mark 01', 'Mark 55', 'Mark 14', 'Mark 38'): 32
('Mark 01', 'Mark 22', 'Mark 38', 'Mark 14'): 31
('Mark 55', 'Mark 01', 'Mark 14', 'Mark 38'): 31
('Mark 38', 'Mark 14', 'Mark 01', 'Mark 55'): 31
('Mark 14', 'Mark 38', 'Mark 55', 'Mark 14'): 31
('Mark 55', 'Mark 14', 'Mark 14', 'Mark 38'): 30
('Mark 01', 'Mark 22', 'Mark 14', 'Mark 38'): 29
('Mark 55', 'Mark 14', 'Mark 38', 'Mark 14'): 29
('Mark 14', 'Mark 38', 'Mark 14', 'Mark 55'): 28
('Mark 38', 'Mark 14', 'Mark 14', 'Mark 55'): 28
('Mark 55', 'Mark 01', 'Mark 38', 'Mark 14'): 27
('Mark 14', 'Mark 38', 'Mark 01', 'Mark 55'): 24
('Mark 01', 'Mark 55', 'Mark 38', 'Mark 14'): 24
('Mark 14', 'Mark 55', 'Mark 01', 'Mark 22'): 23
('Mark 38', 'Mark 14', 'Mark 55', 'Mark 01'): 22
('Mark 38', 'Mark 14', 'Mark 01', 'Mark 22'): 21
('Mark 55', 'Mark 14', 'Mark 55', 'Mark 14'): 21
('Mark 14', 'Mark 38', 'Mark 55', 'Mark 01'): 21
('Mark 55', 'Mark 14', 'Mark 14', 'Mark 55'): 15
('Mark 01', 'Mark 22', 'Mark 14', 'Mark 22'): 15
