pair,K,mean_abs_resid,n
Mark 01->Mark 22,5,0.1303092809673687,1327
Mark 01->Mark 55,5,1.742817423540315,260
Mark 14->Mark 22,5,0.6445998261536275,83
Mark 14->Mark 38,5,3.12093213501562,725
Mark 14->Mark 55,5,1.631610083378572,311
Mark 22->Mark 38,5,1.7379679144385027,17
Mark 22->Mark 49,5,1.2857142857142858,7
Mark 22->Mark 55,5,2.388888888888889,18
Mark 38->Mark 14,5,2.7924967436210935,708
Mark 38->Mark 22,5,1.8650793650793653,18
Mark 49->Mark 22,5,2.575757575757576,11
Mark 49->Mark 55,5,1.3333333333333335,5
Mark 55->Mark 01,5,1.6824610319806503,244
Mark 55->Mark 14,5,1.7367636022514072,328
Mark 55->Mark 22,5,1.3051948051948052,14
Mark 55->Mark 49,5,1.3333333333333333,9
Mark 67->Mark 22,5,1.5205333333333333,75
Mark 67->Mark 49,5,1.4857954545454546,88
Mark 67->Mark 55,5,0.0,1
Mark 01->Mark 22,20,0.30928830104350846,1327
Mark 01->Mark 55,20,3.458657005644957,260
Mark 14->Mark 22,20,1.69408558482094,83
Mark 14->Mark 38,20,5.9063376550853866,725
Mark 14->Mark 55,20,3.2239003107170308,311
Mark 22->Mark 38,20,4.25668449197861,17
Mark 22->Mark 49,20,2.857142857142857,7
Mark 22->Mark 55,20,3.138888888888889,18
Mark 38->Mark 14,20,5.776718978151468,708
Mark 38->Mark 22,20,4.4523809523809526,18
Mark 49->Mark 22,20,4.590909090909091,11
Mark 49->Mark 55,20,4.0,5
Mark 55->Mark 01,20,3.4121875839828006,244
Mark 55->Mark 14,20,3.03537210756723,328
Mark 55->Mark 22,20,2.422077922077922,14
Mark 55->Mark 49,20,2.6666666666666665,9
Mark 67->Mark 22,20,3.5877333333333348,75
Mark 67->Mark 49,20,2.9067665289256195,88
Mark 67->Mark 55,20,0.0,1
Mark 01->Mark 22,100,0.6135115710787173,1327
Mark 01->Mark 55,100,7.542601173926475,260
Mark 14->Mark 22,100,3.226632528252803,83
Mark 14->Mark 38,100,12.082818524488216,725
Mark 14->Mark 55,100,6.881070697790954,311
Mark 22->Mark 38,100,7.358288770053476,17
Mark 22->Mark 49,100,7.428571428571429,7
Mark 22->Mark 55,100,8.734567901234568,18
Mark 38->Mark 14,100,12.208479067828302,708
Mark 38->Mark 22,100,11.384920634920633,18
Mark 49->Mark 22,100,3.958333333333333,11
Mark 49->Mark 55,100,2.4666666666666663,5
Mark 55->Mark 01,100,7.779125235151842,244
Mark 55->Mark 14,100,7.20089430894309,328
Mark 55->Mark 22,100,8.956709956709956,14
Mark 55->Mark 49,100,6.555555555555555,9
Mark 67->Mark 22,100,7.836977777777777,75
Mark 67->Mark 49,100,7.325929752066116,88
Mark 67->Mark 55,100,0.0,1
