mark,side,aggr,symbol,sess_q,spread_q_bucket,K,n,mean,median,frac_pos,tstat
Mark 01,as_buyer,sell,VEV_5400,0,2,5,45,0.044444444444444446,0.0,0.17777777777777778,0.7031230493106524
Mark 01,as_buyer,sell,VEV_5400,0,3,5,17,-0.08823529411764706,0.0,0.17647058823529413,-1.0000000000000002
Mark 01,as_buyer,sell,VEV_5400,1,2,5,57,0.0,0.0,0.12280701754385964,0.0
Mark 01,as_buyer,sell,VEV_5400,1,3,5,10,-0.05,0.0,0.2,-0.42857142857142866
Mark 01,as_buyer,sell,VEV_5400,2,2,5,67,0.014925373134328358,0.0,0.16417910447761194,0.3897418814769785
Mark 01,as_buyer,sell,VEV_5400,2,3,5,13,-0.23076923076923078,-0.5,0.07692307692307693,-2.5205041512504174
Mark 01,as_buyer,sell,VEV_5400,3,2,5,42,0.011904761904761904,0.0,0.23809523809523808,0.19769886875584372
Mark 01,as_buyer,sell,VEV_5400,3,3,5,9,-0.3333333333333333,-0.5,0.1111111111111111,-2.309401076758503
Mark 01,as_buyer,sell,VEV_5400,0,2,20,45,0.17777777777777778,0.0,0.4222222222222222,1.3262355322756891
Mark 01,as_buyer,sell,VEV_5400,0,3,20,17,0.17647058823529413,0.0,0.47058823529411764,0.739951699173849
Mark 01,as_buyer,sell,VEV_5400,1,2,20,57,0.008771929824561403,0.0,0.24561403508771928,0.09582973859719345
Mark 01,as_buyer,sell,VEV_5400,1,3,20,10,-0.25,-0.25,0.2,-1.3416407864998738
Mark 01,as_buyer,sell,VEV_5400,2,2,20,67,0.05970149253731343,0.0,0.22388059701492538,0.7277284976547894
Mark 01,as_buyer,sell,VEV_5400,2,3,20,13,-0.3076923076923077,-0.5,0.3076923076923077,-1.6
Mark 01,as_buyer,sell,VEV_5400,3,2,20,42,0.11904761904761904,0.0,0.38095238095238093,1.0211397298678313
Mark 01,as_buyer,sell,VEV_5400,3,3,20,9,-0.7222222222222222,-1.0,0.1111111111111111,-3.25
Mark 01,as_buyer,sell,VEV_5400,0,2,100,45,0.32222222222222224,0.5,0.5111111111111111,1.519159579378123
Mark 01,as_buyer,sell,VEV_5400,0,3,100,17,-0.3235294117647059,0.0,0.47058823529411764,-0.7827248736613021
Mark 01,as_buyer,sell,VEV_5400,1,2,100,57,-0.2719298245614035,0.0,0.2631578947368421,-1.5718345494631594
Mark 01,as_buyer,sell,VEV_5400,1,3,100,10,-1.15,-1.5,0.2,-2.7253361440901065
Mark 01,as_buyer,sell,VEV_5400,2,2,100,67,0.19402985074626866,0.0,0.44776119402985076,1.1231242018843484
Mark 01,as_buyer,sell,VEV_5400,2,3,100,13,0.0,0.5,0.5384615384615384,0.0
Mark 01,as_buyer,sell,VEV_5400,3,2,100,42,0.32142857142857145,0.0,0.47619047619047616,1.636748591938673
Mark 01,as_buyer,sell,VEV_5400,3,3,100,9,-0.8333333333333334,-1.0,0.3333333333333333,-1.1952286093343938
Mark 01,as_buyer,sell,VEV_5500,0,3,5,70,-0.007142857142857143,0.0,0.05714285714285714,-0.3312067831843802
Mark 01,as_buyer,sell,VEV_5500,1,3,5,76,-0.05263157894736842,0.0,0.05263157894736842,-1.6514456476895414
Mark 01,as_buyer,sell,VEV_5500,2,3,5,86,-0.023255813953488372,0.0,0.03488372093023256,-0.9421934299972728
Mark 01,as_buyer,sell,VEV_5500,3,3,5,65,0.007692307692307693,0.0,0.09230769230769231,0.29939247542604785
Mark 01,as_buyer,sell,VEV_5500,0,3,20,70,0.02857142857142857,0.0,0.15714285714285714,0.5519381863844935
Mark 01,as_buyer,sell,VEV_5500,1,3,20,76,-0.02631578947368421,0.0,0.11842105263157894,-0.5055063074943029
Mark 01,as_buyer,sell,VEV_5500,2,3,20,86,0.040697674418604654,0.0,0.12790697674418605,0.9610973620175022
Mark 01,as_buyer,sell,VEV_5500,3,3,20,65,0.046153846153846156,0.0,0.16923076923076924,1.0294647192088109
Mark 01,as_buyer,sell,VEV_5500,0,3,100,70,0.0,0.0,0.2571428571428571,0.0
Mark 01,as_buyer,sell,VEV_5500,1,3,100,76,-0.23684210526315788,0.0,0.15789473684210525,-2.930285385105442
Mark 01,as_buyer,sell,VEV_5500,2,3,100,86,0.06976744186046512,0.0,0.23255813953488372,0.9363710968123472
Mark 01,as_buyer,sell,VEV_5500,3,3,100,65,0.07692307692307693,0.0,0.3230769230769231,0.8621610748180847
Mark 01,as_buyer,sell,VEV_6000,0,3,5,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,1,3,5,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,2,3,5,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,3,3,5,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,0,3,20,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,1,3,20,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,2,3,20,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,3,3,20,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,0,3,100,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,1,3,100,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,2,3,100,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6000,3,3,100,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,0,3,5,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,1,3,5,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,2,3,5,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,3,3,5,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,0,3,20,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,1,3,20,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,2,3,20,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,3,3,20,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,0,3,100,75,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,1,3,100,80,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,2,3,100,92,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VEV_6500,3,3,100,67,0.0,0.0,0.0,
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,0,3,5,61,-0.39344262295081966,-0.5,0.32786885245901637,-1.372961165810297
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,1,3,5,71,0.39436619718309857,0.5,0.5211267605633803,1.4798459832287318
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,0,5,6,2.0833333333333335,2.0,1.0,3.5714285714285716
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,3,5,49,0.29591836734693877,0.0,0.4897959183673469,1.0639068154582267
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,3,3,5,68,0.5955882352941176,1.0,0.5735294117647058,2.165520314407733
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,0,3,20,61,-1.139344262295082,-1.0,0.3770491803278688,-2.0172274611506826
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,1,3,20,71,-0.14084507042253522,-1.0,0.4225352112676056,-0.2917752160947382
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,0,20,6,2.75,4.25,0.6666666666666666,1.2142532882098829
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,3,20,49,-0.14285714285714285,-1.0,0.40816326530612246,-0.2312615276054749
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,3,3,20,68,0.9117647058823529,0.75,0.5441176470588235,1.763783986711653
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,0,3,100,61,-1.3114754098360655,-1.0,0.4262295081967213,-1.32400015402536
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,1,3,100,71,-1.1056338028169015,-1.5,0.4225352112676056,-1.084041742342279
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,0,100,6,2.25,5.0,0.6666666666666666,0.5180633764587427
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,2,3,100,49,0.5408163265306123,1.0,0.5510204081632653,0.40190072968829116
Mark 01,as_buyer,sell,VELVETFRUIT_EXTRACT,3,3,100,68,-0.5661764705882353,-1.5,0.45588235294117646,-0.42700082305844234
Mark 01,as_buyer,sell,VEV_5300,0,3,5,28,-0.125,0.0,0.17857142857142858,-0.9084753771660686
Mark 01,as_buyer,sell,VEV_5300,1,0,5,9,-0.2777777777777778,-0.5,0.1111111111111111,-2.294157338705618
Mark 01,as_buyer,sell,VEV_5300,1,3,5,27,0.05555555555555555,0.0,0.3333333333333333,0.44048819592160315
Mark 01,as_buyer,sell,VEV_5300,2,0,5,10,-0.1,-0.25,0.4,-0.5570860145311558
Mark 01,as_buyer,sell,VEV_5300,2,3,5,34,-0.38235294117647056,-0.25,0.23529411764705882,-2.440969752646135
Mark 01,as_buyer,sell,VEV_5300,3,0,5,4,0.375,0.25,0.5,0.8783100656536799
Mark 01,as_buyer,sell,VEV_5300,3,3,5,18,-0.2222222222222222,0.0,0.1111111111111111,-1.5118578920369088
Mark 01,as_buyer,sell,VEV_5300,0,3,20,28,-0.6785714285714286,-1.0,0.25,-2.4798239481624753
