timestamp,buyer,seller,symbol,currency,price,quantity,day,mid,bid1,ask1,spread,mid0,aggr,fwd_5,fwd_20,fwd_100,pair,regime,baseline,residual
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18.5,18,19,1,18.5,sell,-0.5,-0.5,-3.5,Mark 01->Mark 22,tight,0.028846153846153848,-0.5288461538461539
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8.5,8,9,1,8.5,sell,0.0,-0.5,-2.0,Mark 01->Mark 22,tight,0.021885521885521887,-0.5218855218855218
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,9956.0,9952,9960,8,9956.0,buy,-4.0,-7.0,1.0,Mark 38->Mark 22,wide,1.1428571428571428,-8.142857142857142
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1253.5,1243,1264,21,1253.5,buy,0.0,-7.0,-20.0,Mark 38->Mark 14,wide,0.17980295566502463,-7.179802955665025
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,5252.5,5250,5255,5,5252.5,buy,-2.0,-5.0,-21.0,Mark 55->Mark 01,med,0.006147540983606557,-5.006147540983607
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,9947.0,9939,9955,16,9947.0,buy,-2.0,-2.0,9.0,Mark 38->Mark 14,wide,-0.36633663366336633,-1.6336633663366338
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,5243.5,5243,5244,1,5243.5,buy,1.5,0.0,-15.0,Mark 55->Mark 49,tight,2.6666666666666665,-2.6666666666666665
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,17.0,16,18,2,17.0,sell,-0.5,-1.0,-3.5,Mark 01->Mark 22,tight,0.028846153846153848,-1.0288461538461537
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,0.0,-1.0,Mark 01->Mark 22,tight,0.021885521885521887,-0.021885521885521887
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,5239.5,5239,5240,1,5239.5,buy,4.0,2.0,-11.0,Mark 67->Mark 49,tight,1.5738636363636365,0.42613636363636354
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,-1.0,-1.0,Mark 01->Mark 22,tight,0.021885521885521887,-1.0218855218855218
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,5235.5,5233,5238,5,5235.5,buy,-1.0,-5.5,-1.0,Mark 55->Mark 01,med,0.006147540983606557,-5.506147540983607
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,5234.5,5232,5237,5,5234.5,sell,-1.0,-4.0,-1.0,Mark 01->Mark 55,med,-0.09839357429718876,-3.9016064257028114
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,43.0,42,44,2,43.0,sell,0.0,-1.0,0.0,Mark 01->Mark 22,tight,-0.15267175572519084,-0.8473282442748091
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,15.0,14,16,2,15.0,sell,-0.5,-0.5,-0.5,Mark 01->Mark 22,tight,0.028846153846153848,-0.5288461538461539
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6.5,6,7,1,6.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.021885521885521887,-0.021885521885521887
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,9958.5,9951,9966,15,9958.5,buy,-1.5,-11.5,-6.5,Mark 38->Mark 14,wide,-0.36633663366336633,-11.133663366336634
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,1226.0,1221,1231,10,1226.0,sell,6.5,2.0,4.5,Mark 14->Mark 38,wide,-0.17532467532467533,2.175324675324675
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,42.0,41,43,2,42.0,sell,0.0,-1.0,-1.0,Mark 01->Mark 22,tight,-0.15267175572519084,-0.8473282442748091
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,14.5,14,15,1,14.5,sell,0.0,-1.0,-0.5,Mark 01->Mark 22,tight,0.028846153846153848,-1.0288461538461537
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,6.5,6,7,1,6.5,sell,0.0,-0.5,0.0,Mark 01->Mark 22,tight,0.021885521885521887,-0.5218855218855218
