mark,side,aggr,symbol,sess_q,spread_q_bucket,K,n,mean,median,frac_pos,tstat,abs_t
Mark 22,as_seller,buy,VELVETFRUIT_EXTRACT,2,0,5,26,2.3653846153846154,2.25,0.9615384615384616,7.435588046354399,7.435588046354399
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,3,0,5,43,2.011627906976744,2.0,0.8372093023255814,7.337462691280354,7.337462691280354
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,2,0,5,41,2.207317073170732,2.5,0.902439024390244,6.87636568209297,6.87636568209297
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,3,0,5,30,2.05,2.0,0.8666666666666667,6.55175149161399,6.55175149161399
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,0,0,5,39,1.9102564102564104,2.0,0.8461538461538461,6.51433182411582,6.51433182411582
Mark 22,as_seller,buy,VELVETFRUIT_EXTRACT,0,0,5,25,1.86,1.5,0.88,5.18335814474974,5.18335814474974
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,1,0,5,40,1.7,1.5,0.75,5.181862352374073,5.181862352374073
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,0,0,5,26,1.6538461538461535,1.5,0.7692307692307693,5.155712230395059,5.155712230395059
Mark 22,as_seller,buy,VELVETFRUIT_EXTRACT,3,0,5,21,2.119047619047619,2.5,0.8095238095238095,4.753855706674938,4.753855706674938
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,3,0,20,43,2.86046511627907,2.5,0.6744186046511628,4.526670401188187,4.526670401188187
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,1,0,5,27,1.6296296296296295,1.5,0.7037037037037037,4.120630029101702,4.120630029101702
Mark 67,as_buyer,buy,VELVETFRUIT_EXTRACT,2,0,20,41,2.426829268292683,2.0,0.7073170731707317,3.9717868929175695,3.9717868929175695
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,3,0,20,30,2.783333333333333,2.5,0.7333333333333333,3.930171518114675,3.930171518114675
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,2,0,5,20,2.075,2.5,0.8,3.7696541011243383,3.7696541011243383
Mark 49,as_seller,buy,VELVETFRUIT_EXTRACT,2,0,20,20,2.625,2.0,0.75,3.747610703803311,3.747610703803311
