day,timestamp
2,41900
3,741100
2,642400
3,531500
1,304000
1,322000
2,287100
1,807800
2,826400
3,666500
3,364700
3,243700
3,708800
3,580600
2,588500
3,385400
1,928400
2,726600
2,204400
3,730000
2,691100
1,455700
3,524000
1,604600
1,548400
3,584300
3,172300
1,11800
3,864100
2,548600
3,32900
2,711900
1,476500
3,391400
3,317200
1,86100
3,793100
1,654200
1,547600
3,363100
1,43400
2,501900
2,317500
3,583100
3,842200
1,618300
1,760000
1,990300
2,373800
3,820200
1,617900
2,604100
2,316700
1,74100
3,788300
2,362600
1,127200
1,170400
1,937300
2,75200
3,621000
3,890900
1,574800
2,347800
3,290900
3,997100
1,865400
1,567200
2,593000
2,287600
3,70100
2,993800
3,144800
2,20900
3,631500
3,837500
3,556400
3,166000
2,105500
3,918500
3,389100
3,87300
3,442200
3,456600
3,612700
3,431900
2,272000
3,459800
3,250200
1,800400
3,37000
2,389000
2,275200
3,218300
2,644500
2,566700
3,551600
3,289400
1,921000
1,715000
2,410200
2,321600
1,89800
2,171800
3,565600
1,50700
1,824800
2,733200
1,948500
3,671800
1,568900
1,725000
3,753700
2,622600
2,508800
1,195600
2,320800
2,977500
3,132100
3,977300
3,671900
2,398200
3,319700
3,614800
3,511800
3,273400
3,220800
2,189100
2,42900
3,678700
2,763500
3,92200
3,766900
3,937400
2,575100
2,376300
3,315800
2,948000
2,52900
1,901100
1,9600
1,798100
3,74300
3,137700
3,937000
2,390300
2,415500
1,851200
3,784100
3,666700
3,894300
1,410400
2,365600
3,70300
3,535400
1,172500
1,868800
2,268900
1,428000
3,485500
3,69900
1,502700
1,399700
3,332600
1,190100
3,222400
2,872600
3,868300
1,754200
2,13100
1,150600
1,40400
2,825900
2,910900
2,23500
1,519500
1,4500
2,129700
2,779200
3,483900
3,689900
3,118700
1,235300
1,135900
3,47200
3,54400
1,153000
2,253000
2,934900
2,29500
1,376600
2,924200
1,703200
1,52800
1,741900
1,631700
1,120300
1,145500
1,674000
1,813000
2,898600
1,38500
1,801800
1,812600
2,688600
2,695800
3,45600
3,535900
1,553100
2,358500
1,684000
1,588200
3,627700
3,631300
1,943100
2,748500
1,350300
