day,timestamp,cum_net_Mark01
1,4500,2
1,4500,4
1,4500,6
1,4500,8
1,5100,8
1,5300,8
1,6100,5
1,6200,5
1,9400,5
1,9600,9
1,9600,13
1,9600,17
1,9600,21
1,10400,21
1,11800,25
1,11800,29
1,11800,33
1,14300,27
1,14800,33
1,14800,37
1,14800,41
1,14800,45
1,14800,49
1,14800,53
1,15000,53
1,16700,53
1,16700,55
1,16700,57
1,16700,59
1,16700,61
1,16700,63
1,17300,63
1,17400,63
1,17900,63
1,19300,63
1,20200,63
1,22800,63
1,25700,63
1,29300,63
1,30800,63
1,31400,63
1,31700,59
1,32000,59
1,32600,54
1,32800,54
1,33600,54
1,36200,54
1,36500,54
1,37400,54
1,38500,59
1,38500,64
1,38500,69
1,38700,77
1,39400,77
1,39400,77
1,39800,81
1,40400,85
1,40400,89
1,40400,93
1,40400,97
1,40400,101
1,40900,101
1,41300,101
1,43400,106
1,43400,111
1,43400,116
1,43400,121
1,43600,125
1,43900,125
1,45200,125
1,45400,125
1,47700,129
1,48300,129
1,48900,135
1,49800,138
1,50200,138
1,50300,138
1,50700,143
1,50700,148
1,50700,153
1,50700,158
1,51700,158
1,52400,158
1,52800,161
1,52800,164
1,52800,167
1,52800,170
1,53000,170
1,53400,170
1,53400,172
1,53400,174
1,53800,174
1,54400,174
1,57600,174
1,59300,174
1,59600,174
1,60300,174
1,61100,174
1,61400,174
1,62100,174
1,62600,174
1,63100,174
1,63200,174
1,63200,174
1,64200,174
1,64300,174
1,65400,174
1,65700,174
1,65900,174
1,67700,174
1,68000,174
1,69500,174
1,70500,174
1,73400,174
1,73400,174
1,73500,174
1,74100,177
1,74100,180
1,74100,183
1,74100,186
1,74100,189
1,74300,189
1,74400,189
1,76600,189
1,77300,189
1,78300,189
1,78400,189
1,78500,189
1,79000,189
1,79800,189
1,81300,189
1,81700,189
1,81900,189
1,82300,189
1,82300,192
1,83200,185
1,84300,185
1,84600,185
1,85300,185
1,85300,187
1,85300,189
1,85300,191
1,85300,193
1,86100,198
1,86100,203
1,86100,208
1,86100,213
1,87900,213
1,88500,213
1,89300,213
1,89800,217
1,89800,221
1,89800,225
1,89800,229
1,91100,229
1,92000,229
1,92100,229
1,92500,229
1,93700,223
1,93800,216
1,94400,216
1,97100,216
1,98600,216
1,99000,216
1,100500,216
1,101400,216
1,101500,216
1,102500,216
1,102800,216
1,103100,216
1,103500,216
1,104400,216
1,107100,216
1,107900,213
1,109000,213
1,109100,213
1,110100,217
1,112000,217
1,112700,217
1,113900,217
1,115500,217
1,118800,217
1,119400,217
1,120300,221
1,120300,225
1,120300,229
1,120300,233
1,120700,233
1,123300,240
1,125600,240
1,126000,240
1,127200,243
1,127200,246
1,127200,249
1,129100,249
1,129500,249
1,129800,249
1,130800,249
1,131300,249
1,131800,254
1,132600,254
1,133100,254
1,133700,254
1,134000,254
1,134500,254
1,135200,246
1,135500,246
1,135900,249
1,135900,252
1,135900,255
1,135900,258
1,135900,261
1,137000,261
1,137300,261
1,137600,261
1,137800,261
1,138000,268
1,138100,268
1,139700,268
1,140000,268
1,140100,268
1,141000,268
1,142000,268
1,144500,273
1,145500,275
1,145500,277
1,145500,279
1,145500,281
1,145600,281
1,146500,281
1,146700,281
1,147900,281
1,148000,281
1,148300,281
1,150600,283
1,150600,285
1,150600,287
1,150600,289
1,150600,291
1,150700,284
1,151100,284
1,151200,284
1,151400,291
1,152700,291
1,153000,295
1,153000,299
1,153000,303
1,153000,307
1,154100,307
1,155900,307
1,156200,307
1,156400,307
1,159900,307
1,161200,307
1,163300,307
1,164000,307
1,164300,307
1,165500,307
1,167300,307
1,167600,313
1,167600,313
1,168400,313
1,168500,313
1,168700,313
1,170400,318
1,170400,323
1,170400,328
1,170400,333
1,170500,333
1,170500,336
1,170500,339
1,170500,342
1,170900,342
1,171400,342
1,171700,349
1,172400,349
1,172500,354
1,172500,359
1,172500,364
1,172500,369
1,172500,374
1,174200,374
1,174400,374
1,178000,374
1,179200,378
1,180100,375
1,182100,375
1,182800,375
1,184200,375
1,185800,375
1,187400,367
1,187600,362
1,188400,362
1,188800,362
1,190100,365
1,190100,368
1,190100,371
1,190100,374
1,190100,377
1,190600,377
1,190700,377
1,191100,377
1,192600,377
1,192800,377
1,193400,377
1,194200,377
1,194400,377
1,195200,377
1,195600,380
1,195600,383
1,195600,386
1,195600,389
1,195600,392
1,196100,392
1,196700,392
1,197600,392
1,198900,392
1,199200,392
1,199400,392
1,202300,392
1,202700,392
1,203200,392
1,203700,392
1,206200,392
1,206200,395
1,206200,398
1,206600,398
1,206800,404
1,207600,400
1,210300,400
1,210600,400
1,211100,400
1,213700,395
1,214400,398
1,215000,398
1,216000,398
1,217100,398
1,217500,398
1,217800,398
1,218500,398
1,218900,398
1,218900,398
1,221200,398
1,221800,398
1,222900,398
1,223300,398
1,224100,398
1,225100,398
1,226100,398
1,229100,398
1,230000,398
1,230800,398
1,235300,401
1,235300,404
1,235300,407
1,235300,410
1,235900,410
1,237900,404
1,238200,404
1,239400,404
1,239600,404
1,239600,404
1,239700,404
1,240200,404
1,240600,404
1,241900,404
1,242900,404
1,245600,404
1,248200,404
1,248300,409
1,250500,413
1,250600,413
1,251200,421
1,251600,421
1,251900,421
1,252400,421
1,252500,421
1,252500,423
1,252500,425
1,252500,427
1,252500,429
1,252500,431
1,253900,431
1,254700,431
1,255000,431
1,255300,431
1,255400,431
1,258400,431
1,262200,435
1,262300,435
1,262800,435
1,263100,435
1,263900,435
1,265400,435
1,265600,435
1,265800,435
1,265900,435
1,266300,435
1,266500,430
1,266600,430
1,267400,430
1,268300,430
1,268700,430
1,269300,430
1,269300,435
1,271600,435
1,272600,435
1,274600,435
1,275300,427
1,275700,427
1,276500,427
1,277400,427
1,278300,427
1,279600,423
1,280500,423
1,281100,423
1,281400,423
1,281500,423
1,282200,423
1,282200,423
1,283400,423
1,285400,423
1,286300,417
1,286600,417
1,288800,417
1,289100,417
1,289200,417
1,290900,417
1,291400,417
1,291800,417
1,292400,409
1,292800,409
1,295000,409
1,296900,414
1,297100,414
1,297400,414
1,297500,414
