timestamp,sp_VEV_5200,m_VEV_5200,sp_VEV_5300,m_VEV_5300,sp_VELVETFRUIT_EXTRACT,m_VELVETFRUIT_EXTRACT,day,tight,s_prod
0,3,95.5,2,47.0,6,5245.0,1,False,6
100,3,96.5,2,47.0,5,5245.5,1,False,6
200,3,96.5,2,47.0,5,5246.5,1,False,6
300,3,97.5,2,48.0,5,5247.5,1,False,6
400,3,97.5,2,48.0,5,5247.5,1,False,6
500,2,97.0,2,48.0,5,5247.5,1,True,4
600,3,96.5,2,48.0,2,5245.0,1,False,6
700,3,95.5,2,47.0,5,5245.5,1,False,6
800,2,96.0,2,47.0,5,5245.5,1,True,4
900,3,95.5,2,47.0,5,5245.5,1,False,6
1000,3,96.5,2,48.0,6,5247.0,1,False,6
1100,2,97.0,2,48.0,5,5247.5,1,True,4
1200,3,97.5,3,48.5,5,5248.5,1,False,9
1300,3,98.5,2,49.0,5,5249.5,1,False,6
1400,3,99.5,2,49.0,6,5251.0,1,False,6
1500,3,99.5,2,49.0,5,5250.5,1,False,6
1600,3,98.5,2,49.0,5,5250.5,1,False,6
1700,3,99.5,3,49.5,5,5251.5,1,False,9
1800,3,99.5,2,49.0,5,5250.5,1,False,6
1900,3,99.5,2,49.0,5,5250.5,1,False,6
2000,3,98.5,2,49.0,3,5251.5,1,False,6
2100,3,98.5,2,49.0,6,5250.0,1,False,6
2200,3,97.5,2,48.0,5,5248.5,1,False,6
2300,3,98.5,2,49.0,5,5249.5,1,False,6
2400,3,98.5,2,49.0,5,5250.5,1,False,6
2500,3,99.5,2,49.0,5,5251.5,1,False,6
2600,3,98.5,3,48.5,6,5249.0,1,False,9
2700,3,98.5,3,48.5,5,5248.5,1,False,9
2800,3,97.5,2,48.0,5,5248.5,1,False,6
2900,3,98.5,3,48.5,5,5249.5,1,False,9
3000,3,98.5,2,49.0,6,5250.0,1,False,6
3100,3,99.5,3,49.5,5,5251.5,1,False,9
3200,3,100.5,2,50.0,6,5253.0,1,False,6
3300,3,101.5,2,50.0,6,5254.0,1,False,6
3400,3,101.5,2,50.0,5,5253.5,1,False,6
3500,3,101.5,2,50.0,5,5253.5,1,False,6
3600,3,100.5,2,50.0,5,5253.5,1,False,6
3700,3,99.5,3,49.5,6,5252.0,1,False,9
3800,3,99.5,3,49.5,5,5251.5,1,False,9
