day,ts,buyer,seller,sym,price,side,spread,spr_q,burst_n,fwd_5,fwd_20,fwd_100,ex_fwd_20
1,4500,Mark 01,Mark 22,VEV_5400,18.0,seller_agg,1.0,tight,4,-0.5,-0.5,-3.5,-4.0
1,4500,Mark 01,Mark 22,VEV_5500,8.0,seller_agg,1.0,tight,4,0.0,-0.5,-2.0,-4.0
1,4500,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-4.0
1,4500,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-4.0
1,5100,Mark 38,Mark 22,HYDROGEL_PACK,9960.0,buyer_agg,8.0,tight,1,-4.0,-7.0,1.0,-3.5
1,5300,Mark 38,Mark 14,VEV_4000,1264.0,buyer_agg,21.0,tight,1,0.0,-7.0,-20.0,-7.0
1,6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5255.0,buyer_agg,5.0,tight,1,-2.0,-5.0,-21.0,-5.0
1,6200,Mark 38,Mark 14,HYDROGEL_PACK,9955.0,buyer_agg,16.0,tight,1,-2.0,-2.0,9.0,-7.0
1,9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5244.0,buyer_agg,1.0,tight,1,1.5,0.0,-15.0,0.0
1,9600,Mark 01,Mark 22,VEV_5400,16.0,seller_agg,2.0,wide,4,-0.5,-1.0,-3.5,-5.0
1,9600,Mark 01,Mark 22,VEV_5500,7.0,seller_agg,1.0,tight,4,0.0,0.0,-1.0,-5.0
1,9600,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-5.0
1,9600,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-5.0
1,10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5240.0,buyer_agg,1.0,tight,1,4.0,2.0,-11.0,2.0
1,11800,Mark 01,Mark 22,VEV_5500,7.0,seller_agg,1.0,tight,3,0.0,-1.0,-1.0,-3.0
1,11800,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,-3.0
1,11800,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,-3.0
1,14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5238.0,buyer_agg,5.0,tight,1,-1.0,-5.5,-1.0,-5.5
1,14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5232.0,seller_agg,5.0,tight,6,-1.0,-4.0,-1.0,-4.0
1,14800,Mark 01,Mark 22,VEV_5300,42.0,seller_agg,2.0,tight,6,0.0,-1.0,0.0,-4.0
1,14800,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,2.0,wide,6,-0.5,-0.5,-0.5,-4.0
