role,name,day,burst,n_u20,mean_u20,mean_sym20
aggr_buy,Mark 67,1,non_burst,57,2.008771929824561,2.008771929824561
aggr_buy,Mark 67,2,non_burst,60,1.4916666666666667,1.4916666666666667
aggr_buy,Mark 67,3,non_burst,45,2.022222222222222,2.022222222222222
aggr_buy,Mark 55,1,non_burst,186,0.5672043010752689,0.5672043010752689
aggr_buy,Mark 55,2,non_burst,217,0.35944700460829493,0.35944700460829493
aggr_buy,Mark 55,3,non_burst,188,0.2898936170212766,0.2898936170212766
aggr_buy,Mark 38,1,non_burst,259,-0.3745173745173745,-0.3687258687258687
aggr_buy,Mark 38,2,non_burst,225,0.22,-0.12666666666666668
aggr_buy,Mark 38,3,non_burst,229,-0.08951965065502183,0.002183406113537118
aggr_sell,Mark 22,1,burst,371,-0.1954177897574124,-0.08355795148247978
aggr_sell,Mark 22,1,non_burst,45,-0.6777777777777778,-0.28888888888888886
aggr_sell,Mark 22,2,burst,392,0.4221938775510204,0.05357142857142857
aggr_sell,Mark 22,2,non_burst,27,0.5370370370370371,0.24074074074074073
aggr_sell,Mark 22,3,burst,581,0.5628227194492255,0.013769363166953529
aggr_sell,Mark 22,3,non_burst,14,-1.9285714285714286,-2.0357142857142856
