buyer,seller,n_prints,notional,reciprocal_n_prints,reciprocal_notional
Mark 01,Mark 22,1339,32427.0,0,0.0
Mark 14,Mark 38,728,20434344.0,714,20850351.0
Mark 38,Mark 14,714,20850351.0,728,20434344.0
Mark 55,Mark 14,331,9254679.0,316,9235831.0
Mark 14,Mark 55,316,9235831.0,331,9254679.0
Mark 01,Mark 55,260,7432924.0,244,7220079.0
Mark 55,Mark 01,244,7220079.0,260,7432924.0
Mark 67,Mark 49,89,5056558.0,0,0.0
Mark 14,Mark 22,83,14577.0,0,0.0
Mark 67,Mark 22,75,2864651.0,0,0.0
Mark 38,Mark 22,19,327140.0,17,427078.0
Mark 22,Mark 55,18,482557.0,14,325980.0
Mark 22,Mark 38,17,427078.0,19,327140.0
Mark 55,Mark 22,14,325980.0,18,482557.0
Mark 49,Mark 22,12,467190.0,7,283215.0
Mark 55,Mark 49,9,283190.0,5,136283.0
Mark 22,Mark 49,7,283215.0,12,467190.0
Mark 49,Mark 55,5,136283.0,9,283190.0
