day,lag_ticks,corr,n
1,0,-0.11359330952399135,9999
1,1,0.13044400682500384,9999
1,2,-0.006477628276731484,9998
1,3,-0.008214195150062133,9997
1,4,0.028827119331634232,9996
1,5,-0.0003653309977617726,9995
2,0,-0.12120593730423956,9999
2,1,0.12251430688356418,9999
2,2,0.007140991684602255,9998
2,3,0.00708319772431932,9997
2,4,-0.0035412404591615054,9996
2,5,-0.02100674364702293,9995
3,0,-0.10511559230093913,9999
3,1,0.12241032049370007,9999
3,2,-0.007723230661887244,9998
3,3,0.005979698060932932,9997
3,4,-0.0033114965943864777,9996
3,5,-0.007328001885858787,9995
