role,name,n_sym20,mean_sym20,med_sym20,frac_pos_sym20,n_u20,mean_u20,med_u20,frac_pos_u20
aggr_buy,Mark 38,731,-0.1354309165526676,0.0,0.493844049247606,731,-0.07455540355677155,0.0,0.4473324213406293
aggr_buy,Mark 55,598,0.4088628762541806,0.5,0.5100334448160535,598,0.4088628762541806,0.5,0.5100334448160535
aggr_buy,Mark 67,164,1.8140243902439024,1.5,0.6463414634146342,164,1.8140243902439024,1.5,0.6463414634146342
aggr_buy,Mark 22,6,3.5,3.5,0.8333333333333334,6,3.5,3.5,0.8333333333333334
aggr_sell,Mark 22,1430,-0.025874125874125874,0.0,0.14965034965034965,1430,0.2636363636363636,0.0,0.46503496503496505
aggr_sell,Mark 38,745,0.038926174496644296,0.0,0.48590604026845635,745,-0.0912751677852349,-0.5,0.4442953020134228
aggr_sell,Mark 55,600,-0.10583333333333333,0.0,0.43833333333333335,600,-0.10583333333333333,0.0,0.43833333333333335
buyer_any,Mark 01,1599,0.008130081300813009,0.0,0.1882426516572858,1599,0.25140712945590993,0.0,0.4646654158849281
buyer_any,Mark 14,1127,-0.012422360248447204,0.0,0.4551907719609583,1127,-0.1512866015971606,-0.5,0.4338952972493345
buyer_any,Mark 38,731,-0.1354309165526676,0.0,0.493844049247606,731,-0.07455540355677155,0.0,0.4473324213406293
buyer_any,Mark 55,598,0.4088628762541806,0.5,0.5100334448160535,598,0.4088628762541806,0.5,0.5100334448160535
buyer_any,Mark 67,165,1.8454545454545455,1.5,0.6484848484848484,165,1.8454545454545455,1.5,0.6484848484848484
buyer_any,Mark 22,42,-0.40476190476190477,1.0,0.5714285714285714,42,1.6547619047619047,2.25,0.6190476190476191
buyer_any,Mark 49,17,-2.2941176470588234,-1.0,0.47058823529411764,17,-2.2941176470588234,-1.0,0.47058823529411764
seller_any,Mark 22,1542,0.11802853437094682,0.0,0.18482490272373542,1542,0.35667963683527887,0.0,0.47535667963683526
seller_any,Mark 14,1043,0.05321188878235858,0.5,0.5004793863854267,1043,0.14189837008628955,0.0,0.4707574304889741
seller_any,Mark 38,745,0.038926174496644296,0.0,0.48590604026845635,745,-0.0912751677852349,-0.5,0.4442953020134228
seller_any,Mark 55,600,-0.10583333333333333,0.0,0.43833333333333335,600,-0.10583333333333333,0.0,0.43833333333333335
seller_any,Mark 01,244,0.006147540983606557,0.0,0.47540983606557374,244,0.006147540983606557,0.0,0.47540983606557374
seller_any,Mark 49,105,1.7952380952380953,2.0,0.6761904761904762,105,1.7952380952380953,2.0,0.6761904761904762
