day,timestamp,buyer,seller,symbol,spr_regime,mark_20_u,baseline_loo_u20,resid_u20_bsr_loo
3,627700,Mark 01,Mark 22,VEV_5200,wide,-9.5,4.75,-14.25
1,729700,Mark 38,Mark 14,HYDROGEL_PACK,wide,14.0,-0.18421052631578946,14.18421052631579
1,43900,Mark 14,Mark 38,HYDROGEL_PACK,tight,13.0,-0.6722972972972973,13.672297297297296
1,313000,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,mid,-14.0,-0.44594594594594594,-13.554054054054054
3,890900,Mark 01,Mark 22,VEV_5200,wide,9.0,-4.5,13.5
3,17100,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,-13.5,-0.136,-13.364
1,636100,Mark 14,Mark 22,VEV_5200,mid,-11.0,2.25,-13.25
2,39500,Mark 14,Mark 38,VEV_4000,tight,-13.0,0.14516129032258066,-13.14516129032258
2,596100,Mark 14,Mark 38,HYDROGEL_PACK,mid,12.5,0.005208333333333333,12.494791666666666
3,404000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,-13.0,-0.671957671957672,-12.328042328042327
3,813800,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,-11.0,1.0740740740740742,-12.074074074074074
3,624200,Mark 14,Mark 22,VEV_5200,mid,12.0,-0.05,12.05
2,1300,Mark 14,Mark 38,VEV_4000,wide,11.5,-0.5064102564102564,12.006410256410255
3,642500,Mark 14,Mark 22,VEV_5400,mid,8.0,-4.0,12.0
1,612500,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,11.0,-0.798941798941799,11.798941798941799
1,636100,Mark 01,Mark 22,VEV_5500,mid,-11.0,0.7923728813559322,-11.792372881355933
3,614400,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,-11.0,0.7410071942446043,-11.741007194244604
1,636100,Mark 01,Mark 22,VEV_5300,wide,-11.0,0.7375,-11.7375
2,239400,Mark 14,Mark 38,HYDROGEL_PACK,tight,11.0,-0.6587837837837838,11.658783783783784
3,404300,Mark 14,Mark 38,HYDROGEL_PACK,mid,-11.5,0.13020833333333334,-11.630208333333334
2,443400,Mark 38,Mark 14,HYDROGEL_PACK,mid,11.0,-0.6291079812206573,11.629107981220658
1,636100,Mark 01,Mark 22,VEV_6000,mid,-11.0,0.6290322580645161,-11.629032258064516
1,636100,Mark 01,Mark 22,VEV_6500,mid,-11.0,0.6290322580645161,-11.629032258064516
3,624200,Mark 01,Mark 22,VEV_6000,mid,12.0,0.4435483870967742,11.556451612903226
3,624200,Mark 01,Mark 22,VEV_6500,mid,12.0,0.4435483870967742,11.556451612903226
2,443600,Mark 14,Mark 22,VEV_5200,mid,11.5,0.0,11.5
3,230300,Mark 14,Mark 38,HYDROGEL_PACK,tight,-12.0,-0.5033783783783784,-11.496621621621621
3,624200,Mark 01,Mark 22,VEV_5400,mid,12.0,0.5865384615384616,11.413461538461538
3,624200,Mark 01,Mark 22,VEV_5500,mid,12.0,0.597457627118644,11.402542372881356
3,671800,Mark 01,Mark 22,VEV_5300,mid,11.5,0.21428571428571427,11.285714285714286
1,156400,Mark 14,Mark 38,HYDROGEL_PACK,tight,10.5,-0.6554054054054054,11.155405405405405
2,239300,Mark 14,Mark 38,HYDROGEL_PACK,tight,10.5,-0.6554054054054054,11.155405405405405
3,40200,Mark 01,Mark 22,VEV_5300,mid,-10.5,0.6071428571428571,-11.107142857142858
2,774200,Mark 38,Mark 14,VEV_4000,tight,11.0,-0.07575757575757576,11.075757575757576
3,40200,Mark 14,Mark 22,VEV_5400,tight,-10.5,0.5714285714285714,-11.071428571428571
1,43600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,10.5,-0.5694444444444444,11.069444444444445
2,239400,Mark 01,Mark 22,VEV_5500,tight,11.0,-0.06818181818181818,11.068181818181818
2,443600,Mark 01,Mark 22,VEV_6000,mid,11.5,0.4475806451612903,11.05241935483871
2,443600,Mark 01,Mark 22,VEV_6500,mid,11.5,0.4475806451612903,11.05241935483871
3,671800,Mark 01,Mark 22,VEV_6000,mid,11.5,0.4475806451612903,11.05241935483871
3,671800,Mark 01,Mark 22,VEV_6500,mid,11.5,0.4475806451612903,11.05241935483871
3,708800,Mark 01,Mark 22,VEV_5500,wide,11.0,-0.03888888888888889,11.03888888888889
2,239400,Mark 01,Mark 22,VEV_6000,tight,11.0,-0.005263157894736842,11.005263157894737
2,239400,Mark 01,Mark 22,VEV_6500,tight,11.0,-0.005263157894736842,11.005263157894737
1,437100,Mark 38,Mark 22,VEV_4000,tight,5.0,-6.0,11.0
1,437100,Mark 38,Mark 22,VEV_5200,tight,5.0,-6.0,11.0
3,155400,Mark 38,Mark 22,VEV_4000,tight,-6.0,5.0,-11.0
3,155400,Mark 38,Mark 22,VEV_5200,tight,-6.0,5.0,-11.0
3,708800,Mark 01,Mark 22,VEV_6000,wide,11.0,0.005263157894736842,10.994736842105263
3,708800,Mark 01,Mark 22,VEV_6500,wide,11.0,0.005263157894736842,10.994736842105263
1,756600,Mark 14,Mark 38,HYDROGEL_PACK,wide,11.0,0.00980392156862745,10.990196078431373
2,994800,Mark 14,Mark 38,HYDROGEL_PACK,wide,11.0,0.00980392156862745,10.990196078431373
3,672400,Mark 14,Mark 38,HYDROGEL_PACK,wide,11.0,0.00980392156862745,10.990196078431373
1,971900,Mark 38,Mark 14,HYDROGEL_PACK,wide,-11.0,-0.019736842105263157,-10.980263157894736
2,699800,Mark 14,Mark 38,VEV_4000,mid,-11.0,-0.06179775280898876,-10.938202247191011
2,443600,Mark 01,Mark 22,VEV_5400,mid,11.5,0.5913461538461539,10.908653846153847
3,671800,Mark 01,Mark 22,VEV_5400,mid,11.5,0.5913461538461539,10.908653846153847
2,443600,Mark 01,Mark 22,VEV_5500,mid,11.5,0.6016949152542372,10.898305084745763
3,671800,Mark 01,Mark 22,VEV_5500,mid,11.5,0.6016949152542372,10.898305084745763
2,239400,Mark 01,Mark 22,VEV_5400,tight,11.0,0.14666666666666667,10.853333333333333
3,708800,Mark 01,Mark 22,VEV_5300,wide,11.0,0.1875,10.8125
3,83500,Mark 38,Mark 14,HYDROGEL_PACK,tight,-10.5,0.2949640287769784,-10.79496402877698
1,693000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,10.0,-0.7936507936507936,10.793650793650794
3,39800,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,-10.0,0.7807017543859649,-10.780701754385966
3,40200,Mark 01,Mark 22,VEV_6000,tight,-10.5,0.22105263157894736,-10.721052631578948
3,40200,Mark 01,Mark 22,VEV_6500,tight,-10.5,0.22105263157894736,-10.721052631578948
2,995100,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,11.5,0.7962962962962963,10.703703703703704
1,333100,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,mid,11.0,0.3229166666666667,10.677083333333334
2,614100,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,-8.5,2.168918918918919,-10.66891891891892
1,742700,Mark 38,Mark 14,HYDROGEL_PACK,wide,10.5,-0.1611842105263158,10.661184210526315
1,103500,Mark 14,Mark 38,HYDROGEL_PACK,tight,10.0,-0.652027027027027,10.652027027027026
2,620000,Mark 14,Mark 38,HYDROGEL_PACK,mid,-10.5,0.125,-10.625
3,624000,Mark 38,Mark 14,HYDROGEL_PACK,mid,10.0,-0.6244131455399061,10.624413145539906
1,801000,Mark 38,Mark 14,VEV_4000,wide,-10.0,0.5196078431372549,-10.519607843137255
3,37100,Mark 14,Mark 38,HYDROGEL_PACK,tight,-11.0,-0.5101351351351351,-10.489864864864865
1,699100,Mark 14,Mark 38,HYDROGEL_PACK,mid,10.5,0.015625,10.484375
2,143100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,11.0,0.5827338129496403,10.417266187050359
3,708800,Mark 01,Mark 22,VEV_5400,mid,11.0,0.5961538461538461,10.403846153846153
3,254900,Mark 22,Mark 38,HYDROGEL_PACK,tight,-9.0,1.4,-10.4
3,941800,Mark 38,Mark 14,VEV_4000,wide,10.5,0.11764705882352941,10.382352941176471
