mark,lag_ticks,corr_flow_future_dU,n
Mark 22,0,-0.021539522196208676,29997
Mark 22,1,0.0368598347076964,29997
Mark 22,2,0.0022560396140405047,29994
Mark 22,3,0.010726087618112052,29991
Mark 22,4,-0.013394532834174586,29988
Mark 22,5,0.015245085966006383,29985
Mark 22,6,-0.004116862417046251,29982
Mark 22,7,-0.0012120560164608368,29979
Mark 22,8,0.011294390938001008,29976
Mark 22,9,0.00604953253516586,29973
Mark 22,10,-8.270725053992873e-05,29970
Mark 22,11,0.005485007433165734,29967
Mark 22,12,-2.838659053983367e-06,29964
Mark 22,13,0.007421645896768705,29961
Mark 22,14,-0.003796212309934982,29958
Mark 22,15,0.010650185691580577,29955
Mark 55,0,0.004021625792577657,29997
Mark 55,1,0.003586103479583914,29997
Mark 55,2,0.0032148642865335872,29994
Mark 55,3,-0.0014737781883367568,29991
Mark 55,4,-0.0008077259691150913,29988
Mark 55,5,0.006366865546479743,29985
Mark 55,6,-0.0077517173239874245,29982
Mark 55,7,0.006944603078290361,29979
Mark 55,8,0.005355717678994067,29976
Mark 55,9,0.002408583883512216,29973
Mark 55,10,-0.008727033018352136,29970
Mark 55,11,-0.0005387356356392341,29967
Mark 55,12,0.0073683227247266884,29964
Mark 55,13,-0.008138742697799102,29961
Mark 55,14,0.010611162011700793,29958
Mark 55,15,0.004087964700751331,29955
Mark 67,0,-0.11345292395472274,29997
Mark 67,1,0.1249132122545033,29997
Mark 67,2,-0.001952261313789559,29994
Mark 67,3,0.0016842222891434873,29991
Mark 67,4,0.0073054159072671945,29988
Mark 67,5,-0.009862183704902943,29985
Mark 67,6,0.003805406542827192,29982
Mark 67,7,0.005699907432744983,29979
Mark 67,8,0.003968039461074759,29976
Mark 67,9,-0.0016264748703179509,29973
Mark 67,10,0.003803024094692949,29970
Mark 67,11,-0.00408281364617138,29967
Mark 67,12,0.0025732088377490156,29964
Mark 67,13,-0.005275026045123732,29961
Mark 67,14,-0.004158464204082733,29958
Mark 67,15,0.0012606359401353129,29955
Mark 49,0,-0.009062604892468618,29997
Mark 49,1,0.009063026460936015,29997
Mark 49,2,0.001686423068540497,29994
Mark 49,3,0.008852983244802772,29991
Mark 49,4,0.0004218171460825283,29988
Mark 49,5,-0.0033725823323239148,29985
Mark 49,6,-0.0018970653196596224,29982
Mark 49,7,0.004849232206860258,29979
Mark 49,8,0.003373473365309593,29976
Mark 49,9,-0.004849110398593532,29973
Mark 49,10,0.010753231689801503,29970
Mark 49,11,-0.00674725205845338,29967
Mark 49,12,-0.003795291497458706,29964
Mark 49,13,-0.005482382729380493,29961
Mark 49,14,0.0014763517795835222,29958
Mark 49,15,0.0048507722137203545,29955
