lag_ticks,corr_flow_future_dU,n
0,-0.059264409699772126,29997
1,0.0737159448900511,29997
2,0.002076722827438331,29994
3,0.001527251545589183,29991
4,0.001367430886429379,29988
5,0.0020769417857686543,29985
6,-0.005190764382143843,29982
7,0.008917583935010498,29979
8,0.008271375612321948,29976
9,0.0017405420003203367,29973
10,-0.004826162967987626,29970
11,-0.0021997914065661826,29967
12,0.007359269632779201,29964
13,-0.008903201415439835,29961
14,0.006335274012795363,29958
15,0.005777286224375283,29955
