day,timestamp,symbol,buyer,seller,aggressor,price,qty,notional,mid0,spread0,spr_regime,session,fwd_5_sym,fwd_5_u,fwd_5_h,mark_5_sym,mark_5_u,mark_5_h,fwd_20_sym,fwd_20_u,fwd_20_h,mark_20_sym,mark_20_u,mark_20_h,fwd_100_sym,fwd_100_u,fwd_100_h,mark_100_sym,mark_100_u,mark_100_h,tight,s5200,s5300
1,4500,VEV_5400,Mark 01,Mark 22,sell,18.0,2,36.0,18.5,1.0,tight,early,18.0,5252.0,9962.0,-0.5,-2.5,-2.0,18.0,5250.5,9940.5,-0.5,-4.0,-23.5,15.0,5234.5,9957.0,-3.5,-20.0,-7.0,True,1.0,1.0
1,4500,VEV_5500,Mark 01,Mark 22,sell,8.0,2,16.0,8.5,1.0,tight,early,8.5,5252.0,9962.0,0.0,-2.5,-2.0,8.0,5250.5,9940.5,-0.5,-4.0,-23.5,6.5,5234.5,9957.0,-2.0,-20.0,-7.0,True,1.0,1.0
1,4500,VEV_6000,Mark 01,Mark 22,sell,0.0,2,0.0,0.5,1.0,tight,early,0.5,5252.0,9962.0,0.0,-2.5,-2.0,0.5,5250.5,9940.5,0.0,-4.0,-23.5,0.5,5234.5,9957.0,0.0,-20.0,-7.0,True,1.0,1.0
1,4500,VEV_6500,Mark 01,Mark 22,sell,0.0,2,0.0,0.5,1.0,tight,early,0.5,5252.0,9962.0,0.0,-2.5,-2.0,0.5,5250.5,9940.5,0.0,-4.0,-23.5,0.5,5234.5,9957.0,0.0,-20.0,-7.0,True,1.0,1.0
1,5100,HYDROGEL_PACK,Mark 38,Mark 22,buy,9960.0,4,39840.0,9956.0,8.0,tight,early,9952.0,5253.0,9952.0,-4.0,1.0,-4.0,9949.0,5248.5,9949.0,-7.0,-3.5,-7.0,9957.0,5234.5,9957.0,1.0,-17.5,1.0,False,3.0,2.0
1,5300,VEV_4000,Mark 38,Mark 14,buy,1264.0,2,2528.0,1253.5,21.0,tight,early,1253.5,5253.5,9947.0,0.0,0.0,-11.0,1246.5,5246.5,9945.0,-7.0,-7.0,-13.0,1233.5,5233.5,9957.0,-20.0,-20.0,-1.0,False,3.0,2.0
1,6100,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,buy,5255.0,3,15765.0,5252.5,5.0,tight,early,5250.5,5250.5,9947.0,-2.0,-2.0,-2.0,5247.5,5247.5,9945.0,-5.0,-5.0,-4.0,5231.5,5231.5,9955.0,-21.0,-21.0,6.0,False,3.0,2.0
1,6200,HYDROGEL_PACK,Mark 38,Mark 14,buy,9955.0,5,49775.0,9947.0,16.0,tight,early,9945.0,5250.0,9945.0,-2.0,-2.5,-2.0,9945.0,5245.5,9945.0,-2.0,-7.0,-2.0,9956.0,5232.5,9956.0,9.0,-20.0,9.0,False,3.0,2.0
1,9400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,buy,5244.0,8,41952.0,5243.5,1.0,tight,early,5245.0,5245.0,9946.5,1.5,1.5,-0.5,5243.5,5243.5,9942.0,0.0,0.0,-5.0,5228.5,5228.5,9947.0,-15.0,-15.0,0.0,False,3.0,2.0
1,9600,VEV_5400,Mark 01,Mark 22,sell,16.0,4,64.0,17.0,2.0,wide,early,16.5,5244.0,9944.0,-0.5,-2.5,0.0,16.0,5241.5,9946.0,-1.0,-5.0,2.0,13.5,5229.0,9945.0,-3.5,-17.5,1.0,True,1.0,1.0
1,9600,VEV_5500,Mark 01,Mark 22,sell,7.0,4,28.0,7.5,1.0,tight,early,7.5,5244.0,9944.0,0.0,-2.5,0.0,7.5,5241.5,9946.0,0.0,-5.0,2.0,6.5,5229.0,9945.0,-1.0,-17.5,1.0,True,1.0,1.0
1,9600,VEV_6000,Mark 01,Mark 22,sell,0.0,4,0.0,0.5,1.0,tight,early,0.5,5244.0,9944.0,0.0,-2.5,0.0,0.5,5241.5,9946.0,0.0,-5.0,2.0,0.5,5229.0,9945.0,0.0,-17.5,1.0,True,1.0,1.0
1,9600,VEV_6500,Mark 01,Mark 22,sell,0.0,4,0.0,0.5,1.0,tight,early,0.5,5244.0,9944.0,0.0,-2.5,0.0,0.5,5241.5,9946.0,0.0,-5.0,2.0,0.5,5229.0,9945.0,0.0,-17.5,1.0,True,1.0,1.0
