buyer,seller,symbol,spr_regime,n,mean
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,29,-2.2439613526570046
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,75,1.282705314009662
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,60,-1.0689613526570048
Mark 01,Mark 22,VEV_5300,tight,34,-1.023529411764706
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,37,-1.014231622927275
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,89,0.8908701080171526
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,126,-0.778295376121463
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,66,0.7440711462450593
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,190,-0.6193014181022175
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,mid,97,0.5505303778825897
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,mid,191,0.5363888547002074
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,mid,75,-0.5091259795057265
Mark 38,Mark 14,HYDROGEL_PACK,tight,140,0.42240259740259734
Mark 38,Mark 14,VEV_4000,wide,54,0.40509395184967717
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,82,0.39059738423471196
Mark 14,Mark 38,HYDROGEL_PACK,tight,149,-0.3759914582062233
Mark 38,Mark 14,VEV_4000,mid,86,0.3405126849894292
Mark 14,Mark 38,HYDROGEL_PACK,mid,193,0.33898995557026623
Mark 14,Mark 38,VEV_4000,mid,90,-0.32537878787878777
Mark 38,Mark 14,HYDROGEL_PACK,mid,214,-0.305724586098418
Mark 14,Mark 38,VEV_4000,wide,79,-0.2666441202048506
Mark 01,Mark 22,VEV_5300,mid,57,0.23259320175438597
Mark 01,Mark 22,VEV_5300,wide,41,0.22121951219512165
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,58,-0.1491337664501081
Mark 01,Mark 22,VEV_5500,tight,89,-0.12316805080605757
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,140,0.12091097308488616
Mark 14,Mark 38,VEV_4000,tight,63,-0.11612364243943182
Mark 01,Mark 22,VEV_5400,tight,76,0.10494987468671686
Mark 38,Mark 14,HYDROGEL_PACK,wide,153,-0.08661727448851436
Mark 14,Mark 38,HYDROGEL_PACK,wide,154,0.08605482465417301
