party,role_on_tape,symbol,n,mean_fwd20,frac_pos
Mark 01,buyer,VELVETFRUIT_EXTRACT,260,0.0057692307692307696,0.45384615384615384
Mark 55,buyer,VELVETFRUIT_EXTRACT,598,0.4088628762541806,0.5100334448160535
Mark 67,buyer,VELVETFRUIT_EXTRACT,165,1.8454545454545455,0.6484848484848484
Mark 14,buyer,VELVETFRUIT_EXTRACT,316,-0.23734177215189872,0.4177215189873418
Mark 22,buyer,VELVETFRUIT_EXTRACT,25,1.14,0.6
Mark 22,seller,VELVETFRUIT_EXTRACT,101,1.4653465346534653,0.6237623762376238
Mark 14,seller,VELVETFRUIT_EXTRACT,331,0.5755287009063444,0.5196374622356495
Mark 01,seller,VELVETFRUIT_EXTRACT,244,0.006147540983606557,0.47540983606557374
Mark 49,seller,VELVETFRUIT_EXTRACT,105,1.7952380952380953,0.6761904761904762
Mark 55,seller,VELVETFRUIT_EXTRACT,600,-0.10583333333333333,0.43833333333333335
