mark,side,symbol,K,n,mean_fwd_same,median_fwd_same,mean_fwd_EXTRACT,mean_fwd_HYDRO,frac_pos_same,t_vs_pool,days_present
Mark 22,aggr_sell,VEV_5400,5,275,-0.03090909090909091,0.0,-0.012727272727272728,-0.14,0.16363636363636364,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_5400,20,275,0.02,0.0,0.33090909090909093,-0.4290909090909091,0.3054545454545455,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_5400,100,272,-0.04044117647058824,0.0,0.4375,-0.5202205882352942,0.41544117647058826,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_5500,5,306,-0.026143790849673203,0.0,0.03431372549019608,-0.12418300653594772,0.05555555555555555,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_5500,20,306,0.014705882352941176,0.0,0.33169934640522875,-0.37745098039215685,0.14052287581699346,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_5500,100,304,-0.03618421052631579,0.0,0.24342105263157895,0.05263157894736842,0.23355263157894737,0.0,"1,2,3"
Mark 22,aggr_sell,VEV_6000,5,317,0.0,0.0,0.014195583596214511,-0.14511041009463724,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_6000,20,317,0.0,0.0,0.2807570977917981,-0.5,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_6000,100,314,0.0,0.0,0.14968152866242038,-0.17993630573248406,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_6500,5,317,0.0,0.0,0.014195583596214511,-0.14511041009463724,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_6500,20,317,0.0,0.0,0.2807570977917981,-0.5,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_6500,100,314,0.0,0.0,0.14968152866242038,-0.17993630573248406,0.0,,"1,2,3"
Mark 22,aggr_sell,VEV_5300,5,160,-0.203125,0.0,-0.134375,-0.46875,0.2375,-0.050455755272037855,"1,2,3"
Mark 22,aggr_sell,VEV_5300,20,160,-0.14375,0.0,0.053125,-0.371875,0.38125,-0.055668014176296875,"1,2,3"
Mark 22,aggr_sell,VEV_5300,100,159,0.14779874213836477,0.0,1.0031446540880504,0.21069182389937108,0.4968553459119497,-0.09237822389804856,"1,2,3"
Mark 22,aggr_sell,VEV_5200,5,44,-0.22727272727272727,-0.5,-0.20454545454545456,-1.0,0.3181818181818182,-0.31805685779165827,"1,2,3"
Mark 22,aggr_sell,VEV_5200,20,44,0.22727272727272727,-0.25,0.7272727272727273,0.07954545454545454,0.4772727272727273,-0.10059608644014638,"1,2,3"
Mark 22,aggr_sell,VEV_5200,100,44,0.625,0.5,1.0681818181818181,-4.2272727272727275,0.5681818181818182,-0.3381568731035709,"1,2,3"
Mark 38,aggr_buy,HYDROGEL_PACK,5,515,-0.11941747572815534,0.0,-0.09611650485436893,-0.11941747572815534,0.458252427184466,0.1791971757295152,"1,2,3"
Mark 38,aggr_buy,HYDROGEL_PACK,20,515,-0.3271844660194175,0.0,-0.23009708737864076,-0.3271844660194175,0.49514563106796117,0.07796281700800305,"1,2,3"
Mark 38,aggr_buy,HYDROGEL_PACK,100,512,-0.548828125,0.0,-0.380859375,-0.548828125,0.486328125,0.03715858416963167,"1,2,3"
Mark 38,aggr_buy,VEV_4000,5,209,0.17464114832535885,0.0,0.20095693779904306,-0.5909090909090909,0.4784688995215311,0.0,"1,2,3"
Mark 38,aggr_buy,VEV_4000,20,207,0.2608695652173913,0.0,0.30434782608695654,-0.4975845410628019,0.48792270531400966,0.0,"1,2,3"
Mark 38,aggr_buy,VEV_4000,100,205,-0.25121951219512195,0.0,-0.24878048780487805,0.35121951219512193,0.4878048780487805,0.0,"1,2,3"
Mark 38,aggr_sell,VEV_4000,5,233,-0.16952789699570817,0.0,-0.05150214592274678,-0.02575107296137339,0.4248927038626609,0.0,"1,2,3"
Mark 38,aggr_sell,VEV_4000,20,233,-0.17381974248927037,0.0,-0.18240343347639484,0.38626609442060084,0.44635193133047213,0.0,"1,2,3"
Mark 38,aggr_sell,VEV_4000,100,232,-0.05387931034482758,-1.0,-0.15948275862068967,0.9827586206896551,0.4525862068965517,0.0,"1,2,3"
Mark 38,aggr_sell,HYDROGEL_PACK,5,507,0.011834319526627219,0.0,-0.08086785009861933,0.011834319526627219,0.4635108481262327,-0.07172375028732424,"1,2,3"
Mark 38,aggr_sell,HYDROGEL_PACK,20,507,0.10157790927021697,0.0,-0.10946745562130178,0.10157790927021697,0.4990138067061144,-0.10516252142688844,"1,2,3"
Mark 38,aggr_sell,HYDROGEL_PACK,100,505,0.5881188118811881,0.0,-0.3821782178217822,0.5881188118811881,0.48514851485148514,-0.24341562990764368,"1,2,3"
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,0.0,0.19899665551839466,0.205685618729097,0.46488294314381273,0.2257629345991751,"1,2,3"
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,0.5,0.4088628762541806,0.2491638795986622,0.5100334448160535,0.232672435150024,"1,2,3"
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,0.0,0.5310924369747899,0.1815126050420168,0.4991596638655462,-0.08813496705824672,"1,2,3"
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,5,600,0.051666666666666666,0.0,0.051666666666666666,0.10333333333333333,0.44333333333333336,0.6483020316128257,"1,2,3"
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,20,600,-0.10583333333333333,0.0,-0.10583333333333333,-0.08166666666666667,0.43833333333333335,0.4658195183653925,"1,2,3"
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-1.0,-0.9184873949579831,0.007563025210084034,0.4369747899159664,0.21592381989850445,"1,2,3"
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,2.0,1.9603658536585367,0.36890243902439024,0.8353658536585366,0.4570797439302689,"1,2,3"
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,1.5,1.8140243902439024,0.27439024390243905,0.6463414634146342,-0.11210331060410963,"1,2,3"
