comparison,mark,side,symbol,K,n_a,n_b,mean_same_a,mean_same_b,welch_same_a_minus_b,mean_ext_a,mean_ext_b,welch_ext_a_minus_b
small_multi_vs_isolated,Mark 38,aggr_sell,HYDROGEL_PACK,5,18,480,-2.0555555555555554,0.06770833333333333,-2.1714627891302443,0.027777777777777776,-0.09270833333333334,0.22270362221425494
small_multi_vs_isolated,Mark 38,aggr_buy,HYDROGEL_PACK,100,28,477,6.535714285714286,-0.9077568134171907,1.9739346660815487,-0.44642857142857145,-0.4339622641509434,-0.006276131384608632
small_multi_vs_isolated,Mark 38,aggr_sell,HYDROGEL_PACK,20,18,480,-3.9444444444444446,0.315625,-1.913595840910457,0.4166666666666667,-0.153125,0.5050247163169987
small_multi_vs_isolated,Mark 38,aggr_buy,VEV_4000,100,9,194,-4.555555555555555,-0.21391752577319587,-1.635472654216899,-4.888888888888889,-0.13917525773195877,-1.9036775565795847
small_multi_vs_isolated,Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,20,24,567,1.4166666666666667,0.35978835978835977,1.3809095119949717,1.4166666666666667,0.35978835978835977,1.3809095119949717
small_multi_vs_isolated,Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,100,8,153,-3.3125,1.5,-1.3312246441383406,-3.3125,1.5,-1.3312246441383406
small_multi_vs_isolated,Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,100,23,565,3.0,0.39557522123893807,1.1624383091980601,3.0,0.39557522123893807,1.1624383091980601
small_multi_vs_isolated,Mark 38,aggr_sell,VEV_4000,5,14,217,-0.75,-0.15668202764976957,-0.9160149944772096,-0.32142857142857145,-0.055299539170506916,-0.4478906237799984
small_multi_vs_isolated,Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,20,30,565,0.6333333333333333,-0.13539823008849558,0.9070527167927341,0.6333333333333333,-0.13539823008849558,0.9070527167927341
small_multi_vs_isolated,Mark 38,aggr_buy,VEV_4000,5,10,197,0.55,0.10913705583756345,0.862254047596116,0.4,0.20304568527918782,0.35418698710318985
small_multi_vs_isolated,Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,5,24,567,0.4375,0.19047619047619047,0.8523746290778513,0.4375,0.19047619047619047,0.8523746290778513
small_multi_vs_isolated,Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,5,30,565,0.36666666666666664,0.030973451327433628,0.7373451700398133,0.36666666666666664,0.030973451327433628,0.7373451700398133
small_multi_vs_isolated,Mark 38,aggr_sell,VEV_4000,100,14,216,-1.8571428571428572,-0.013888888888888888,-0.6383028680660608,-2.0357142857142856,-0.11342592592592593,-0.6609284326991904
small_multi_vs_isolated,Mark 38,aggr_buy,HYDROGEL_PACK,20,28,480,0.5178571428571429,-0.37916666666666665,0.5241175628040957,-1.1428571428571428,-0.20833333333333334,-1.3471849693785003
small_multi_vs_isolated,Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,20,8,154,2.5,1.7857142857142858,0.4967374999846171,2.5,1.7857142857142858,0.4967374999846171
small_multi_vs_isolated,Mark 38,aggr_buy,VEV_4000,20,10,195,-0.25,0.23846153846153847,-0.43219642649259876,-0.85,0.3717948717948718,-1.2970416740781505
small_multi_vs_isolated,Mark 38,aggr_sell,HYDROGEL_PACK,100,17,479,-1.1764705882352942,0.7275574112734864,-0.396466629682925,1.1470588235294117,-0.48434237995824636,0.5656665101422913
small_multi_vs_isolated,Mark 38,aggr_sell,VEV_4000,20,14,217,0.21428571428571427,-0.21428571428571427,0.38127447983060386,0.17857142857142858,-0.21428571428571427,0.3495562895745219
small_multi_vs_isolated,Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,100,29,561,-1.2758620689655173,-0.8983957219251337,-0.19826695471280723,-1.2758620689655173,-0.8983957219251337,-0.19826695471280723
small_multi_vs_isolated,Mark 38,aggr_buy,HYDROGEL_PACK,5,28,480,-0.21428571428571427,-0.08645833333333333,-0.15519385764393354,-0.25,-0.0875,-0.43080544895434536
small_multi_vs_isolated,Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,5,8,154,1.9375,1.9772727272727273,-0.058275701669535274,1.9375,1.9772727272727273,-0.058275701669535274
