day,lead,target,lag_bars,n,corr
1,extract_flow_bar,VEV_5300_dmid,0,9999,-0.004591770713868797
1,vev5300_flow_bar,EXTRACT_dmid,0,9999,-0.010370199239232202
1,extract_flow_bar,VEV_5300_dmid,1,9999,-0.016547746845978418
1,vev5300_flow_bar,EXTRACT_dmid,1,9999,-0.00029718367744071243
1,extract_flow_bar,VEV_5300_dmid,2,9998,0.0010125897985561747
1,vev5300_flow_bar,EXTRACT_dmid,2,9998,0.007154349321143803
1,extract_flow_bar,VEV_5300_dmid,3,9997,0.01087626791117917
1,vev5300_flow_bar,EXTRACT_dmid,3,9997,-0.008766660501908939
1,extract_flow_bar,VEV_5300_dmid,4,9996,0.0009447614827152778
1,vev5300_flow_bar,EXTRACT_dmid,4,9996,0.011577120929998963
1,extract_flow_bar,VEV_5300_dmid,5,9995,0.0028132566463444243
1,vev5300_flow_bar,EXTRACT_dmid,5,9995,-0.0031307601428756026
1,extract_flow_bar,VEV_5300_dmid,6,9994,-0.0016711408496086462
1,vev5300_flow_bar,EXTRACT_dmid,6,9994,0.022456956135812674
1,extract_flow_bar,VEV_5300_dmid,7,9993,0.01768649572148391
1,vev5300_flow_bar,EXTRACT_dmid,7,9993,0.010786768822818989
1,extract_flow_bar,VEV_5300_dmid,8,9992,0.001237243215345793
1,vev5300_flow_bar,EXTRACT_dmid,8,9992,-0.017631288342753855
1,extract_flow_bar,VEV_5300_dmid,9,9991,-0.0009306553459127275
1,vev5300_flow_bar,EXTRACT_dmid,9,9991,-0.007151770163133738
1,extract_flow_bar,VEV_5300_dmid,10,9990,0.004974987301038005
1,vev5300_flow_bar,EXTRACT_dmid,10,9990,-0.004330353795906491
2,extract_flow_bar,VEV_5300_dmid,0,9999,0.008140975833620405
2,vev5300_flow_bar,EXTRACT_dmid,0,9999,0.004756275406242905
2,extract_flow_bar,VEV_5300_dmid,1,9999,0.02102531495942504
2,vev5300_flow_bar,EXTRACT_dmid,1,9999,0.004756275406242892
2,extract_flow_bar,VEV_5300_dmid,2,9998,0.008560750386342108
2,vev5300_flow_bar,EXTRACT_dmid,2,9998,0.0026444222694198554
2,extract_flow_bar,VEV_5300_dmid,3,9997,0.013687035959881313
2,vev5300_flow_bar,EXTRACT_dmid,3,9997,-0.001603007101476751
2,extract_flow_bar,VEV_5300_dmid,4,9996,-0.00838039283223977
2,vev5300_flow_bar,EXTRACT_dmid,4,9996,0.007771528080162493
2,extract_flow_bar,VEV_5300_dmid,5,9995,-0.01308491365978492
2,vev5300_flow_bar,EXTRACT_dmid,5,9995,0.0019425013172723465
2,extract_flow_bar,VEV_5300_dmid,6,9994,0.01738552421215996
2,vev5300_flow_bar,EXTRACT_dmid,6,9994,0.009028882442930002
2,extract_flow_bar,VEV_5300_dmid,7,9993,-0.012455623587181821
2,vev5300_flow_bar,EXTRACT_dmid,7,9993,0.0026648232505849146
2,extract_flow_bar,VEV_5300_dmid,8,9992,0.004850809248562205
2,vev5300_flow_bar,EXTRACT_dmid,8,9992,-0.004419328788510355
2,extract_flow_bar,VEV_5300_dmid,9,9991,0.015889892063835124
2,vev5300_flow_bar,EXTRACT_dmid,9,9991,-0.0040652404812760844
2,extract_flow_bar,VEV_5300_dmid,10,9990,-0.003481934737922595
2,vev5300_flow_bar,EXTRACT_dmid,10,9990,0.003733009442389446
3,extract_flow_bar,VEV_5300_dmid,0,9999,-0.0005891348743031489
3,vev5300_flow_bar,EXTRACT_dmid,0,9999,-0.0019345318490021463
3,extract_flow_bar,VEV_5300_dmid,1,9999,0.012819733349128004
3,vev5300_flow_bar,EXTRACT_dmid,1,9999,-0.003988172072973428
3,extract_flow_bar,VEV_5300_dmid,2,9998,0.0029876547048980667
3,vev5300_flow_bar,EXTRACT_dmid,2,9998,-0.007956489042464846
3,extract_flow_bar,VEV_5300_dmid,3,9997,0.0004589432171997061
3,vev5300_flow_bar,EXTRACT_dmid,3,9997,0.017421593876828484
3,extract_flow_bar,VEV_5300_dmid,4,9996,-0.0033734168751107436
3,vev5300_flow_bar,EXTRACT_dmid,4,9996,-0.013824368279717876
3,extract_flow_bar,VEV_5300_dmid,5,9995,0.012302285646850146
3,vev5300_flow_bar,EXTRACT_dmid,5,9995,0.0029062323058106692
3,extract_flow_bar,VEV_5300_dmid,6,9994,-0.014003481506389566
3,vev5300_flow_bar,EXTRACT_dmid,6,9994,-0.013517374870601569
3,extract_flow_bar,VEV_5300_dmid,7,9993,0.005769431138715782
3,vev5300_flow_bar,EXTRACT_dmid,7,9993,0.0009991151260823976
3,extract_flow_bar,VEV_5300_dmid,8,9992,0.01282888192254775
3,vev5300_flow_bar,EXTRACT_dmid,8,9992,-0.013675906631927259
3,extract_flow_bar,VEV_5300_dmid,9,9991,0.0014204837356702853
3,vev5300_flow_bar,EXTRACT_dmid,9,9991,-0.006792096560992611
3,extract_flow_bar,VEV_5300_dmid,10,9990,-0.00389363209615433
3,vev5300_flow_bar,EXTRACT_dmid,10,9990,0.010081334277451804
