buyer,seller,burst_bucket,symbol,n,mean_fwd20,frac_pos
Mark 01,Mark 22,near_any_ge4,VEV_5200,11,0.8636363636363636,0.6363636363636364
Mark 01,Mark 22,near_any_ge4,VEV_5300,131,-0.12213740458015267,0.3969465648854962
Mark 01,Mark 22,near_any_ge4,VEV_5400,259,0.03667953667953668,0.3088803088803089
Mark 01,Mark 22,near_any_ge4,VEV_5500,284,0.035211267605633804,0.1443661971830986
Mark 01,Mark 22,near_any_ge4,VEV_6000,295,0.0,0.0
Mark 01,Mark 22,near_any_ge4,VEV_6500,295,0.0,0.0
Mark 01,Mark 22,near_01_22_vev,VEV_5200,10,1.05,0.7
Mark 01,Mark 22,near_01_22_vev,VEV_5300,102,-0.09803921568627451,0.4019607843137255
Mark 01,Mark 22,near_01_22_vev,VEV_5400,189,0.013227513227513227,0.30158730158730157
Mark 01,Mark 22,near_01_22_vev,VEV_5500,202,0.022277227722772276,0.13366336633663367
Mark 01,Mark 22,near_01_22_vev,VEV_6000,209,0.0,0.0
Mark 01,Mark 22,near_01_22_vev,VEV_6500,209,0.0,0.0
Mark 01,Mark 22,far_from_ge4,VEV_5500,15,-0.16666666666666666,0.13333333333333333
Mark 01,Mark 22,far_from_ge4,VEV_6000,22,0.0,0.0
Mark 01,Mark 22,far_from_ge4,VEV_6500,22,0.0,0.0
Mark 14,Mark 38,near_any_ge4,HYDROGEL_PACK,63,-0.373015873015873,0.5238095238095238
Mark 14,Mark 38,near_any_ge4,VEV_4000,23,0.10869565217391304,0.5652173913043478
Mark 14,Mark 38,near_01_22_vev,HYDROGEL_PACK,43,-0.6046511627906976,0.5116279069767442
Mark 14,Mark 38,near_01_22_vev,VEV_4000,14,1.3214285714285714,0.5714285714285714
Mark 14,Mark 38,far_from_ge4,HYDROGEL_PACK,433,0.32217090069284066,0.5011547344110855
Mark 14,Mark 38,far_from_ge4,VEV_4000,209,-0.21052631578947367,0.430622009569378
Mark 55,Mark 01,near_any_ge4,VELVETFRUIT_EXTRACT,30,-1.7,0.3333333333333333
Mark 55,Mark 01,near_01_22_vev,VELVETFRUIT_EXTRACT,19,-1.263157894736842,0.3684210526315789
Mark 55,Mark 01,far_from_ge4,VELVETFRUIT_EXTRACT,214,0.24532710280373832,0.4953271028037383
