day,buyer,seller,n,mean_smile_tension_proxy
1,Mark 01,Mark 22,393,415.0783997348736
1,Mark 01,Mark 55,76,415.33995578097284
1,Mark 14,Mark 22,20,416.2341372056887
1,Mark 14,Mark 38,274,416.05170802101463
1,Mark 14,Mark 55,114,415.7210335198163
1,Mark 38,Mark 14,259,416.3293592859474
1,Mark 55,Mark 01,81,415.6132447389807
1,Mark 55,Mark 14,97,415.11341199192947
1,Mark 67,Mark 22,32,414.58891245392556
1,Mark 67,Mark 49,26,416.9563594819675
2,Mark 01,Mark 22,390,418.4093096326556
2,Mark 01,Mark 55,91,419.6946701556263
2,Mark 14,Mark 22,27,417.2101505831722
2,Mark 14,Mark 38,206,418.92586575763175
2,Mark 14,Mark 55,92,419.6332036530208
2,Mark 38,Mark 14,225,418.6020117466873
2,Mark 55,Mark 01,92,419.27432658512583
2,Mark 55,Mark 14,118,419.54680392930646
2,Mark 67,Mark 22,26,420.1930956514609
2,Mark 67,Mark 49,35,419.6675894706672
3,Mark 01,Mark 22,556,413.58838692945386
3,Mark 01,Mark 55,93,415.3244215879442
3,Mark 14,Mark 22,36,414.16330826811986
3,Mark 14,Mark 38,248,415.29798242443354
3,Mark 14,Mark 55,110,414.25630354704253
3,Mark 38,Mark 14,230,415.0489920222934
3,Mark 55,Mark 01,71,413.9641537988355
3,Mark 55,Mark 14,116,414.52225789404184
3,Mark 67,Mark 22,17,414.1077096449797
3,Mark 67,Mark 49,28,416.91255150802374
