buyer,seller,symbol,gate,n,mean_fwd20,frac_pos
Mark 01,Mark 22,VEV_5300,tight,132,-0.12121212121212122,0.3939393939393939
Mark 01,Mark 22,VEV_5400,tight,263,0.039923954372623575,0.30798479087452474
Mark 01,Mark 22,VEV_5500,tight,298,0.025167785234899327,0.14429530201342283
Mark 01,Mark 22,VEV_6000,tight,316,0.0,0.0
Mark 01,Mark 22,VEV_6500,tight,316,0.0,0.0
Mark 14,Mark 38,HYDROGEL_PACK,tight,126,-0.4603174603174603,0.48412698412698413
Mark 14,Mark 38,HYDROGEL_PACK,loose,370,0.4702702702702703,0.5108108108108108
Mark 14,Mark 38,VEV_4000,tight,55,1.1,0.5818181818181818
Mark 14,Mark 38,VEV_4000,loose,177,-0.576271186440678,0.4011299435028249
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,71,-0.056338028169014086,0.4788732394366197
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,loose,173,0.031791907514450865,0.47398843930635837
