buyer,seller,day,K,n_tight,n_loose,mean_tight,mean_loose,delta,welch_t,welch_p
Mark 14,Mark 38,1,5,25,158,1.08,-0.04113924050632911,1.1211392405063292,1.978774113763892,0.057435597152881934
Mark 14,Mark 38,2,5,33,109,0.3484848484848485,-0.25229357798165136,0.6007784264664999,1.3489332089984067,0.18282659391359501
Mark 14,Mark 38,3,5,68,103,0.4485294117647059,-0.6990291262135923,1.1475585379782982,3.4300987783178187,0.0007788166179612458
Mark 14,Mark 38,1,20,25,158,2.72,0.25,2.47,2.4153394898375127,0.021984942150949344
Mark 14,Mark 38,2,20,33,109,1.378787878787879,-0.7018348623853211,2.0806227411732,2.159711541724761,0.0356714540963352
Mark 14,Mark 38,3,20,68,103,0.33088235294117646,-1.5485436893203883,1.8794260422615647,2.8208277187461666,0.005469625587968776
Mark 14,Mark 38,1,100,25,158,3.4,-0.41455696202531644,3.8145569620253164,1.9934292605131305,0.05366495966957567
Mark 14,Mark 38,2,100,33,107,4.303030303030303,-1.144859813084112,5.447890116114415,3.323777561186402,0.0015141399852946077
Mark 14,Mark 38,3,100,68,103,2.5661764705882355,-3.8300970873786406,6.396273557966876,4.586116679533069,9.18735435508056e-06
Mark 38,Mark 14,1,5,25,162,0.18,-0.30864197530864196,0.48864197530864195,0.9081520306561534,0.37114850197512594
Mark 38,Mark 14,2,5,27,134,-0.25925925925925924,-0.08955223880597014,-0.16970702045328911,-0.37468616732208404,0.7100302567538301
Mark 38,Mark 14,3,5,77,82,0.12337662337662338,0.1402439024390244,-0.016867279062401028,-0.0505150035856766,0.9597779140743885
Mark 38,Mark 14,1,20,25,162,1.24,-0.5709876543209876,1.8109876543209875,2.440362861889287,0.019586716953143336
Mark 38,Mark 14,2,20,27,134,0.4444444444444444,-0.12313432835820895,0.5675787728026533,0.7820117727230793,0.4382368197280261
Mark 38,Mark 14,3,20,77,82,0.33766233766233766,-0.8109756097560976,1.1486379474184352,1.716442184970829,0.08806127640279167
Mark 38,Mark 14,1,100,25,162,4.1,-0.6635802469135802,4.7635802469135795,2.251372400978498,0.03138460359978114
Mark 38,Mark 14,2,100,27,133,1.037037037037037,-0.22180451127819548,1.2588415483152324,0.5312539460951863,0.5989381488721578
Mark 38,Mark 14,3,100,76,82,1.0460526315789473,-2.5365853658536586,3.582637997432606,2.501388387057387,0.013403193038407252
