day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
29;0;ASH_COATED_OSMIUM;10000;13;9998;21;;;10016;13;10019;21;;;10008.0;0.0
29;0;INTARIAN_PEPPER_ROOT;12993;9;12990;25;;;13007;9;13010;25;;;13000.0;0.0
29;100;ASH_COATED_OSMIUM;10000;15;9998;26;;;10016;15;10019;26;;;10008.0;0.0
29;100;INTARIAN_PEPPER_ROOT;12993;8;12990;22;;;13007;8;13010;22;;;13000.0;0.0
29;200;ASH_COATED_OSMIUM;10000;15;9998;30;;;10016;15;10019;30;;;10008.0;0.0
29;200;INTARIAN_PEPPER_ROOT;12993;9;12990;22;;;13007;9;13010;22;;;13000.0;0.0
29;300;ASH_COATED_OSMIUM;10000;12;9998;27;;;10016;12;10019;27;;;10008.0;0.0
29;300;INTARIAN_PEPPER_ROOT;12993;8;12990;23;;;13007;8;13011;23;;;13000.0;0.0
29;400;ASH_COATED_OSMIUM;10010;8;10000;12;9998;25;10016;12;10019;25;;;10013.0;0.0
29;400;INTARIAN_PEPPER_ROOT;12993;10;12990;15;;;13007;10;13011;15;;;13000.0;0.0
29;500;ASH_COATED_OSMIUM;10000;11;9998;22;;;10017;11;10019;22;;;10008.5;0.0
29;500;INTARIAN_PEPPER_ROOT;12993;9;12990;19;;;13007;9;13011;19;;;13000.0;0.0
29;600;ASH_COATED_OSMIUM;10000;13;9998;25;;;10016;13;10019;25;;;10008.0;0.0
29;600;INTARIAN_PEPPER_ROOT;12994;11;12990;23;;;13008;11;13011;23;;;13001.0;0.0
29;700;ASH_COATED_OSMIUM;10000;11;9998;23;;;10016;11;10019;23;;;10008.0;0.0
29;700;INTARIAN_PEPPER_ROOT;12994;9;12990;24;;;13008;9;13011;24;;;13001.0;0.0
29;800;ASH_COATED_OSMIUM;10001;12;9998;27;;;10017;12;10019;27;;;10009.0;0.0
29;800;INTARIAN_PEPPER_ROOT;12994;8;12991;20;;;13008;8;13011;20;;;13001.0;0.0
29;900;ASH_COATED_OSMIUM;10001;12;9998;21;;;10017;12;10019;21;;;10009.0;0.0
29;900;INTARIAN_PEPPER_ROOT;12994;8;12991;25;;;13008;8;13011;25;;;13001.0;0.0
29;1000;ASH_COATED_OSMIUM;10001;14;9998;28;;;10017;14;10019;28;;;10009.0;0.0
29;1000;INTARIAN_PEPPER_ROOT;12994;10;12991;21;;;13008;10;13011;21;;;13001.0;0.0
29;1100;ASH_COATED_OSMIUM;10001;13;9998;28;;;10017;13;10019;28;;;10009.0;0.0
29;1100;INTARIAN_PEPPER_ROOT;12994;11;12991;24;;;13008;11;13011;24;;;13001.0;0.0
29;1200;ASH_COATED_OSMIUM;10001;12;9998;28;;;10017;12;10019;28;;;10009.0;0.0
29;1200;INTARIAN_PEPPER_ROOT;12994;9;12991;22;;;13008;9;13011;22;;;13001.0;0.0
29;1300;ASH_COATED_OSMIUM;10001;13;9999;23;;;10017;13;10020;23;;;10009.0;0.0
29;1300;INTARIAN_PEPPER_ROOT;12994;12;12991;16;;;13008;12;13012;16;;;13001.0;0.0
29;1400;ASH_COATED_OSMIUM;10001;10;9999;24;;;10017;10;10020;24;;;10009.0;0.0
29;1400;INTARIAN_PEPPER_ROOT;12994;10;12991;17;;;13008;10;13012;17;;;13001.0;0.0
29;1500;ASH_COATED_OSMIUM;10001;12;9999;29;;;10007;4;10017;12;10020;29;10004.0;0.0
29;1500;INTARIAN_PEPPER_ROOT;12994;11;12991;16;;;13008;11;13012;16;;;13001.0;0.0
29;1600;ASH_COATED_OSMIUM;10001;14;9999;23;;;10017;14;10020;23;;;10009.0;0.0
29;1600;INTARIAN_PEPPER_ROOT;12995;8;12991;23;;;13009;8;13012;23;;;13002.0;0.0
29;1700;ASH_COATED_OSMIUM;10001;13;9999;24;;;10018;13;10020;24;;;10009.5;0.0
29;1700;INTARIAN_PEPPER_ROOT;12995;9;12991;15;;;13009;9;13012;15;;;13002.0;0.0
29;1800;ASH_COATED_OSMIUM;10001;13;9999;28;;;10011;4;10017;13;10020;28;10006.0;0.0
29;1800;INTARIAN_PEPPER_ROOT;12995;9;12992;16;;;13009;9;13012;16;;;13002.0;0.0
29;1900;ASH_COATED_OSMIUM;10002;15;9999;24;;;10018;15;10020;24;;;10010.0;0.0
29;1900;INTARIAN_PEPPER_ROOT;12995;10;12992;25;;;13009;10;13012;25;;;13002.0;0.0
29;2000;ASH_COATED_OSMIUM;10002;13;10000;22;;;10018;13;10021;22;;;10010.0;0.0
29;2000;INTARIAN_PEPPER_ROOT;12995;12;12992;22;;;13009;12;13012;22;;;13002.0;0.0
29;2100;ASH_COATED_OSMIUM;10003;12;10000;25;;;10019;12;10021;25;;;10011.0;0.0
29;2100;INTARIAN_PEPPER_ROOT;12995;8;12992;15;;;13009;8;13012;15;;;13002.0;0.0
29;2200;ASH_COATED_OSMIUM;10003;10;10000;29;;;10019;10;10021;29;;;10011.0;0.0
29;2200;INTARIAN_PEPPER_ROOT;12995;12;12992;23;;;13009;12;13012;23;;;13002.0;0.0
29;2300;ASH_COATED_OSMIUM;10003;14;10000;20;;;10019;14;10021;20;;;10011.0;0.0
29;2300;INTARIAN_PEPPER_ROOT;12995;9;12992;25;;;13009;9;13013;25;;;13002.0;0.0
29;2400;ASH_COATED_OSMIUM;10002;10;10000;25;;;10018;10;10021;25;;;10010.0;0.0
29;2400;INTARIAN_PEPPER_ROOT;12995;8;12992;22;;;13009;8;13013;22;;;13002.0;0.0
29;2500;ASH_COATED_OSMIUM;10002;14;10000;27;;;10018;14;10021;27;;;10010.0;0.0
29;2500;INTARIAN_PEPPER_ROOT;12995;10;12992;15;;;13010;10;13013;15;;;13002.5;0.0
29;2600;ASH_COATED_OSMIUM;10002;13;9999;20;;;10018;13;10020;20;;;10010.0;0.0
29;2600;INTARIAN_PEPPER_ROOT;12996;8;12992;25;;;13010;8;13013;25;;;13003.0;0.0
29;2700;ASH_COATED_OSMIUM;10002;14;9999;29;;;10018;14;10020;29;;;10010.0;0.0
29;2700;INTARIAN_PEPPER_ROOT;12996;11;12992;19;;;12998;8;13010;11;13013;19;12997.0;0.0
29;2800;ASH_COATED_OSMIUM;10002;11;9999;22;;;10018;11;10020;22;;;10010.0;0.0
29;2800;INTARIAN_PEPPER_ROOT;12996;12;12993;25;;;13010;12;13013;25;;;13003.0;0.0
29;2900;ASH_COATED_OSMIUM;10001;15;9999;21;;;10017;15;10020;21;;;10009.0;0.0
29;2900;INTARIAN_PEPPER_ROOT;13006;8;12996;12;12993;25;13010;12;13013;25;;;13008.0;0.0
29;3000;ASH_COATED_OSMIUM;10002;13;9999;27;;;10018;13;10020;27;;;10010.0;0.0
29;3000;INTARIAN_PEPPER_ROOT;12996;9;12993;21;;;13010;9;13013;21;;;13003.0;0.0
29;3100;ASH_COATED_OSMIUM;10001;10;9999;25;;;10017;10;10020;25;;;10009.0;0.0
29;3100;INTARIAN_PEPPER_ROOT;12996;11;12993;21;;;13010;11;13013;21;;;13003.0;0.0
29;3200;ASH_COATED_OSMIUM;10001;12;9999;28;;;10017;12;10020;28;;;10009.0;0.0
29;3200;INTARIAN_PEPPER_ROOT;12996;9;12993;25;;;13010;9;13013;25;;;13003.0;0.0
29;3300;ASH_COATED_OSMIUM;10001;12;9999;26;;;10017;12;10020;26;;;10009.0;0.0
29;3300;INTARIAN_PEPPER_ROOT;12996;10;12993;17;;;13010;10;13014;17;;;13003.0;0.0
29;3400;ASH_COATED_OSMIUM;10001;11;9999;25;;;10017;11;10020;25;;;10009.0;0.0
29;3400;INTARIAN_PEPPER_ROOT;12996;12;12993;24;;;13010;12;13014;24;;;13003.0;0.0
29;3500;ASH_COATED_OSMIUM;10001;10;9999;21;;;10017;10;10020;21;;;10009.0;0.0
29;3500;INTARIAN_PEPPER_ROOT;12996;11;12993;25;;;13011;11;13014;25;;;13003.5;0.0
29;3600;ASH_COATED_OSMIUM;10001;10;9998;30;;;10017;10;10019;30;;;10009.0;0.0
29;3600;INTARIAN_PEPPER_ROOT;12997;10;12993;22;;;13011;10;13014;22;;;13004.0;0.0
29;3700;ASH_COATED_OSMIUM;10000;15;9998;24;;;10016;15;10019;24;;;10008.0;0.0
29;3700;INTARIAN_PEPPER_ROOT;12997;8;12993;25;;;13011;8;13014;25;;;13004.0;0.0
29;3800;ASH_COATED_OSMIUM;10006;5;10001;13;9998;29;10017;13;10019;29;;;10011.5;0.0
29;3800;INTARIAN_PEPPER_ROOT;12997;10;12994;19;;;13011;10;13014;19;;;13004.0;0.0
29;3900;ASH_COATED_OSMIUM;10001;13;9998;26;;;10017;13;10019;26;;;10009.0;0.0
29;3900;INTARIAN_PEPPER_ROOT;12997;9;12994;25;;;13011;9;13014;25;;;13004.0;0.0
29;4000;ASH_COATED_OSMIUM;10000;15;9998;30;;;10016;15;10019;30;;;10008.0;0.0
29;4000;INTARIAN_PEPPER_ROOT;12997;12;12994;23;;;13011;12;13014;23;;;13004.0;0.0
29;4100;ASH_COATED_OSMIUM;10006;3;10000;14;9998;25;10016;14;10019;25;;;10011.0;0.0
29;4100;INTARIAN_PEPPER_ROOT;12997;8;12994;25;;;13011;8;13014;25;;;13004.0;0.0
29;4200;ASH_COATED_OSMIUM;10001;10;9998;26;;;10017;10;10019;26;;;10009.0;0.0
29;4200;INTARIAN_PEPPER_ROOT;12997;10;12994;19;;;13011;10;13014;19;;;13004.0;0.0
29;4300;ASH_COATED_OSMIUM;10001;12;9999;24;;;10017;12;10020;24;;;10009.0;0.0
29;4300;INTARIAN_PEPPER_ROOT;12997;11;12994;25;;;13011;11;13015;25;;;13004.0;0.0
29;4400;ASH_COATED_OSMIUM;10001;10;9999;22;;;10017;10;10020;22;;;10009.0;0.0
29;4400;INTARIAN_PEPPER_ROOT;12997;10;12994;22;;;13011;10;13015;22;;;13004.0;0.0
