day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
39;0;VEV_4500;759;7;757;14;;;775;7;777;14;;;767.0;0.0
39;100;VEV_4500;757;10;756;14;;;774;10;776;14;;;765.5;-9.36029052734375
39;200;VEV_4500;758;8;756;15;;;774;8;776;15;;;766.0;-9.16241455078125
39;300;VEV_4500;758;9;756;17;;;774;9;776;17;;;766.0;-8.75787353515625
39;400;VEV_4500;757;8;755;14;;;773;8;775;14;;;765.0;-10.2825927734375
39;500;VEV_4500;755;7;753;16;;;771;7;773;16;;;763.0;-11.79449462890625
39;600;VEV_4500;761;5;754;9;752;14;770;9;772;14;;;765.5;-13.05499267578125
39;700;VEV_4500;754;7;753;15;;;771;7;773;15;;;762.5;-12.46795654296875
39;800;VEV_4500;755;9;753;13;;;771;9;773;13;;;763.0;-12.21771240234375
39;900;VEV_4500;755;6;753;19;;;771;6;773;19;;;763.0;-12.1448974609375
39;1000;VEV_4500;755;12;753;12;;;771;12;773;12;;;763.0;-12.22503662109375
39;1100;VEV_4500;756;8;754;15;;;772;8;774;15;;;764.0;-11.27978515625
39;1200;VEV_4500;754;8;752;16;;;770;8;772;16;;;762.0;-12.661865234375
39;1300;VEV_4500;754;6;752;15;;;770;6;772;15;;;762.0;-12.92193603515625
39;1400;VEV_4500;756;12;754;14;;;772;12;774;14;;;764.0;-10.94488525390625
39;1500;VEV_4500;757;10;755;23;;;773;10;775;23;;;765.0;-10.24761962890625
39;1600;VEV_4500;757;7;755;13;;;773;7;775;13;;;765.0;-10.277587890625
39;1700;VEV_4500;758;6;756;13;;;774;6;776;13;;;766.0;-8.984130859375
39;1800;VEV_4500;758;6;756;21;;;774;6;776;21;;;766.0;-9.2415771484375
39;1900;VEV_4500;758;11;756;14;;;775;11;776;14;;;766.5;-8.6207275390625
39;2000;VEV_4500;760;9;758;14;;;776;9;778;14;;;768.0;-6.848876953125
39;2100;VEV_4500;761;9;759;13;;;778;9;779;13;;;769.5;-5.67169189453125
39;2200;VEV_4500;760;6;758;12;;;776;6;778;12;;;768.0;-6.77801513671875
39;2300;VEV_4500;761;10;759;15;;;777;10;779;15;;;769.0;-6.04083251953125
39;2400;VEV_4500;762;7;760;13;;;778;7;780;13;;;770.0;-4.76885986328125
39;2500;VEV_4500;764;10;762;13;;;780;10;782;13;;;772.0;-2.7889404296875
39;2600;VEV_4500;764;9;762;13;;;781;9;783;13;;;772.5;-2.3526611328125
39;2700;VEV_4500;764;8;762;14;;;780;8;782;14;;;772.0;-2.99676513671875
39;2800;VEV_4500;763;8;761;14;;;780;8;782;14;;;771.5;-3.5621337890625
39;2900;VEV_4500;761;7;759;17;;;778;7;780;17;;;769.5;-5.5826416015625
39;3000;VEV_4500;762;9;760;13;;;779;9;781;13;;;770.5;-4.57684326171875
39;3100;VEV_4500;764;11;762;16;;;780;11;782;16;;;772.0;-2.74420166015625
39;3200;VEV_4500;765;8;763;22;;;781;8;783;22;;;773.0;-2.09820556640625
39;3300;VEV_4500;765;6;763;12;;;782;6;784;12;;;773.5;-1.3675537109375
39;3400;VEV_4500;766;10;764;24;;;783;10;785;24;;;774.5;-0.51531982421875
39;3500;VEV_4500;765;12;763;21;;;782;12;783;21;;;773.5;-1.7120361328125
39;3600;VEV_4500;766;12;764;15;;;782;12;784;15;;;774.0;-0.94378662109375
39;3700;VEV_4500;765;9;763;13;;;782;9;784;13;;;773.5;-1.586181640625
39;3800;VEV_4500;766;8;764;22;;;782;8;784;22;;;774.0;-1.1246337890625
39;3900;VEV_4500;766;6;764;16;;;782;6;784;16;;;774.0;-1.090087890625
39;4000;VEV_4500;765;6;763;16;;;781;6;783;16;;;773.0;-2.1815185546875
39;4100;VEV_4500;765;10;764;22;;;782;10;784;22;;;773.5;-1.2908935546875
39;4200;VEV_4500;766;7;764;13;;;783;7;785;13;;;774.5;-0.57275390625
39;4300;VEV_4500;766;9;764;21;;;783;9;785;21;;;774.5;-0.624267578125
39;4400;VEV_4500;764;12;762;20;;;781;12;783;20;;;772.5;-2.63775634765625
39;4500;VEV_4500;764;7;762;13;;;780;7;782;13;;;772.0;-2.787841796875
39;4600;VEV_4500;763;6;761;18;;;779;6;781;18;;;771.0;-4.16790771484375
39;4700;VEV_4500;763;11;761;18;;;779;11;781;18;;;771.0;-4.03448486328125
39;4800;VEV_4500;762;11;761;15;;;779;11;781;15;;;770.5;-4.31842041015625
39;4900;VEV_4500;765;8;763;21;;;781;8;783;21;;;773.0;-2.11614990234375
39;5000;VEV_4500;765;9;763;23;;;781;9;783;23;;;773.0;-1.9044189453125
39;5100;VEV_4500;765;9;763;16;;;781;9;783;16;;;773.0;-2.0177001953125
39;5200;VEV_4500;765;12;763;24;;;781;12;783;24;;;773.0;-2.00103759765625
39;5300;VEV_4500;765;11;763;18;;;782;11;784;18;;;773.5;-1.52764892578125
39;5400;VEV_4500;765;10;763;18;;;781;10;783;18;;;773.0;-1.989013671875
39;5500;VEV_4500;768;7;766;21;;;784;7;786;21;;;776.0;0.80938720703125
39;5600;VEV_4500;768;9;766;12;;;784;9;786;12;;;776.0;1.092529296875
39;5700;VEV_4500;768;10;766;15;;;784;10;786;15;;;776.0;0.9732666015625
39;5800;VEV_4500;766;11;764;13;;;783;11;785;13;;;774.5;-0.48944091796875
39;5900;VEV_4500;767;7;765;13;;;783;7;785;13;;;775.0;-0.16351318359375
39;6000;VEV_4500;767;11;765;16;;;784;11;786;16;;;775.5;0.4090576171875
39;6100;VEV_4500;767;8;765;19;;;783;8;785;19;;;775.0;0.03436279296875
39;6200;VEV_4500;767;12;765;12;;;784;12;786;12;;;775.5;0.3671875
39;6300;VEV_4500;766;8;764;13;;;783;8;785;13;;;774.5;-0.42584228515625
39;6400;VEV_4500;765;11;764;15;;;782;11;784;15;;;773.5;-1.2646484375
39;6500;VEV_4500;765;7;763;15;;;782;7;784;15;;;773.5;-1.5433349609375
39;6600;VEV_4500;765;10;763;14;;;781;10;783;14;;;773.0;-1.99957275390625
39;6700;VEV_4500;764;9;762;20;;;781;9;783;20;;;772.5;-2.61724853515625
39;6800;VEV_4500;764;8;762;24;;;781;8;783;24;;;772.5;-2.50634765625
39;6900;VEV_4500;765;8;763;16;;;782;8;784;16;;;773.5;-1.556396484375
39;7000;VEV_4500;764;9;762;14;;;780;9;782;14;;;772.0;-2.96435546875
39;7100;VEV_4500;762;7;760;22;;;779;7;781;22;;;770.5;-4.48480224609375
39;7200;VEV_4500;763;7;761;12;;;779;7;781;12;;;771.0;-4.26177978515625
39;7300;VEV_4500;763;11;761;22;;;779;11;781;22;;;771.0;-3.98223876953125
39;7400;VEV_4500;765;7;763;22;;;781;7;783;22;;;773.0;-2.2449951171875
39;7500;VEV_4500;766;8;764;22;;;782;8;784;22;;;774.0;-1.01708984375
39;7600;VEV_4500;764;12;762;12;;;780;12;782;12;;;772.0;-2.86907958984375
39;7700;VEV_4500;765;11;763;17;;;781;11;783;17;;;773.0;-2.0142822265625
39;7800;VEV_4500;770;2;763;12;761;23;779;12;781;23;;;774.5;-4.057861328125
39;7900;VEV_4500;763;9;762;16;;;780;9;782;16;;;771.5;-3.29571533203125
39;8000;VEV_4500;763;11;761;23;;;779;11;781;23;;;771.0;-4.22955322265625
39;8100;VEV_4500;762;10;760;17;;;779;10;781;17;;;770.5;-4.60150146484375
39;8200;VEV_4500;762;10;760;21;;;778;10;780;21;;;770.0;-5.02679443359375
39;8300;VEV_4500;761;6;759;23;;;778;6;780;23;;;769.5;-5.43280029296875
39;8400;VEV_4500;763;8;761;23;;;779;8;781;23;;;771.0;-3.9649658203125
39;8500;VEV_4500;762;12;761;24;;;779;12;781;24;;;770.5;-4.3629150390625
39;8600;VEV_4500;762;9;761;18;;;779;9;781;18;;;770.5;-4.30377197265625
39;8700;VEV_4500;760;10;759;16;;;777;10;779;16;;;768.5;-6.3389892578125
39;8800;VEV_4500;760;8;758;21;;;776;8;778;21;;;768.0;-7.15728759765625
39;8900;VEV_4500;759;6;758;16;;;776;6;778;16;;;767.5;-7.37554931640625
39;9000;VEV_4500;759;11;757;14;;;775;11;777;14;;;767.0;-7.87310791015625
39;9100;VEV_4500;758;6;757;15;;;775;6;777;15;;;766.5;-8.3427734375
39;9200;VEV_4500;758;12;756;24;;;774;12;776;24;;;766.0;-8.919677734375
39;9300;VEV_4500;757;7;755;20;;;774;7;775;20;;;765.5;-9.585205078125
39;9400;VEV_4500;756;12;754;15;;;772;12;774;15;;;764.0;-10.82977294921875
39;9500;VEV_4500;755;9;753;13;;;771;9;773;13;;;763.0;-11.81817626953125
39;9600;VEV_4500;755;9;753;22;;;771;9;773;22;;;763.0;-12.23895263671875
39;9700;VEV_4500;754;7;752;18;;;771;7;772;18;;;762.5;-12.55810546875
39;9800;VEV_4500;754;12;752;18;;;771;12;772;18;;;762.5;-12.5894775390625
39;9900;VEV_4500;754;8;752;14;;;770;8;772;14;;;762.0;-13.0184326171875
39;10000;VEV_4500;755;8;753;13;;;771;8;773;13;;;763.0;-12.18218994140625
39;10100;VEV_4500;755;9;753;13;;;771;9;773;13;;;763.0;-12.0675048828125
39;10200;VEV_4500;754;11;752;16;;;770;11;772;16;;;762.0;-12.96087646484375
39;10300;VEV_4500;753;11;751;22;;;769;11;771;22;;;761.0;-14.25970458984375
39;10400;VEV_4500;754;6;752;21;;;770;6;772;21;;;762.0;-13.03900146484375
39;10500;VEV_4500;753;11;751;23;;;769;11;771;23;;;761.0;-13.70062255859375
39;10600;VEV_4500;753;10;751;20;;;769;10;771;20;;;761.0;-13.99420166015625
39;10700;VEV_4500;754;8;752;14;;;771;8;772;14;;;762.5;-12.56988525390625
39;10800;VEV_4500;753;9;751;13;;;769;9;771;13;;;761.0;-14.02130126953125
39;10900;VEV_4500;753;11;751;17;;;770;11;771;17;;;761.5;-13.54608154296875
39;11000;VEV_4500;755;12;753;22;;;771;12;773;22;;;763.0;-12.31243896484375
39;11100;VEV_4500;756;11;754;19;;;772;11;774;19;;;764.0;-11.0997314453125
39;11200;VEV_4500;757;8;755;19;;;773;8;775;19;;;765.0;-10.3519287109375
39;11300;VEV_4500;757;9;755;14;;;773;9;775;14;;;765.0;-9.8868408203125
39;11400;VEV_4500;759;9;757;15;;;775;9;777;15;;;767.0;-8.1463623046875
39;11500;VEV_4500;759;11;757;15;;;775;11;777;15;;;767.0;-7.73681640625
39;11600;VEV_4500;758;12;756;21;;;775;12;777;21;;;766.5;-8.553466796875
39;11700;VEV_4500;759;7;757;12;;;775;7;777;12;;;767.0;-8.11029052734375
39;11800;VEV_4500;758;12;756;21;;;774;12;776;21;;;766.0;-9.16668701171875
39;11900;VEV_4500;759;9;757;19;;;776;9;778;19;;;767.5;-7.52740478515625
39;12000;VEV_4500;760;6;758;12;;;777;6;779;12;;;768.5;-6.44171142578125
39;12100;VEV_4500;760;6;759;17;;;777;6;779;17;;;768.5;-6.3355712890625
39;12200;VEV_4500;760;11;758;12;;;777;11;778;12;;;768.5;-6.6162109375
39;12300;VEV_4500;760;12;758;20;;;777;12;779;20;;;768.5;-6.5863037109375
39;12400;VEV_4500;759;6;757;17;;;775;6;777;17;;;767.0;-8.1715087890625
39;12500;VEV_4500;759;8;757;16;;;775;8;777;16;;;767.0;-7.8389892578125
39;12600;VEV_4500;759;11;757;21;;;775;11;777;21;;;767.0;-8.18603515625
39;12700;VEV_4500;758;8;756;22;;;775;8;777;22;;;766.5;-8.5311279296875
39;12800;VEV_4500;758;12;756;24;;;774;12;776;24;;;766.0;-9.316162109375
39;12900;VEV_4500;758;12;756;20;;;774;12;776;20;;;766.0;-8.75238037109375
39;13000;VEV_4500;757;12;755;12;;;774;12;776;12;;;765.5;-9.564208984375
39;13100;VEV_4500;758;8;756;15;;;765;3;774;8;776;15;761.5;-9.0955810546875
39;13200;VEV_4500;759;11;757;17;;;775;11;777;17;;;767.0;-7.84893798828125
39;13300;VEV_4500;760;8;758;22;;;776;8;778;22;;;768.0;-7.2611083984375
39;13400;VEV_4500;759;12;757;20;;;775;12;777;20;;;767.0;-8.08587646484375
39;13500;VEV_4500;757;6;755;19;;;773;6;775;19;;;765.0;-9.96307373046875
39;13600;VEV_4500;757;9;755;14;;;774;9;776;14;;;765.5;-9.49249267578125
39;13700;VEV_4500;757;10;755;22;;;773;10;775;22;;;765.0;-9.83282470703125
39;13800;VEV_4500;758;6;756;18;;;774;6;776;18;;;766.0;-9.25323486328125
39;13900;VEV_4500;758;11;757;19;;;775;11;777;19;;;766.5;-8.4036865234375
39;14000;VEV_4500;758;8;756;22;;;774;8;776;22;;;766.0;-8.7923583984375
39;14100;VEV_4500;758;12;757;24;;;775;12;777;24;;;766.5;-8.3646240234375
