day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
39;0;VELVETFRUIT_EXTRACT;5265;25;5264;35;;;5270;60;;;;;5267.5;0.0
39;100;VELVETFRUIT_EXTRACT;5263;69;;;;;5268;22;5269;47;;;5265.5;-4.3603515625
39;200;VELVETFRUIT_EXTRACT;5263;67;;;;;5268;22;5269;45;;;5265.5;-4.16259765625
39;300;VELVETFRUIT_EXTRACT;5264;23;5263;44;;;5269;67;;;;;5266.5;-3.7578125
39;400;VELVETFRUIT_EXTRACT;5262;53;;;;;5267;15;5268;38;;;5264.5;-5.28271484375
39;500;VELVETFRUIT_EXTRACT;5261;19;5260;37;;;5266;56;;;;;5263.5;-6.79443359375
39;600;VELVETFRUIT_EXTRACT;5259;66;;;;;5265;66;;;;;5262.0;-8.05517578125
39;700;VELVETFRUIT_EXTRACT;5260;24;5259;44;;;5265;24;5266;44;;;5262.5;-7.4677734375
39;800;VELVETFRUIT_EXTRACT;5260;52;;;;;5265;20;5266;32;;;5262.5;-7.2177734375
39;900;VELVETFRUIT_EXTRACT;5260;66;;;;;5262;8;5265;25;5266;41;5261.0;-7.14501953125
39;1000;VELVETFRUIT_EXTRACT;5260;69;;;;;5265;21;5266;48;;;5262.5;-7.22509765625
39;1100;VELVETFRUIT_EXTRACT;5261;60;;;;;5266;24;5267;36;;;5263.5;-6.27978515625
39;1200;VELVETFRUIT_EXTRACT;5260;22;5259;36;;;5265;58;;;;;5262.5;-7.662109375
39;1300;VELVETFRUIT_EXTRACT;5259;51;;;;;5265;51;;;;;5262.0;-7.921875
39;1400;VELVETFRUIT_EXTRACT;5261;50;;;;;5267;50;;;;;5264.0;-5.94482421875
39;1500;VELVETFRUIT_EXTRACT;5262;56;;;;;5267;16;5268;40;;;5264.5;-5.24755859375
39;1600;VELVETFRUIT_EXTRACT;5262;64;;;;;5267;23;5268;41;;;5264.5;-5.27783203125
39;1700;VELVETFRUIT_EXTRACT;5263;61;;;;;5269;61;;;;;5266.0;-3.984375
39;1800;VELVETFRUIT_EXTRACT;5263;46;;;;;5268;16;5269;30;;;5265.5;-4.24169921875
39;1900;VELVETFRUIT_EXTRACT;5264;25;5263;38;;;5269;25;5270;38;;;5266.5;-3.62060546875
39;2000;VELVETFRUIT_EXTRACT;5266;22;5265;39;;;5271;61;;;;;5268.5;-1.84912109375
39;2100;VELVETFRUIT_EXTRACT;5267;15;5266;30;;;5272;45;;;;;5269.5;-0.671875
39;2200;VELVETFRUIT_EXTRACT;5266;23;5265;39;;;5271;62;;;;;5268.5;-1.77783203125
39;2300;VELVETFRUIT_EXTRACT;5266;65;;;;;5272;65;;;;;5269.0;-1.041015625
39;2400;VELVETFRUIT_EXTRACT;5268;22;5267;30;;;5273;52;;;;;5270.5;0.23095703125
39;2500;VELVETFRUIT_EXTRACT;5270;15;5269;38;;;5275;53;;;;;5272.5;2.2109375
39;2600;VELVETFRUIT_EXTRACT;5270;74;;;;;5275;25;5276;49;;;5272.5;2.6474609375
39;2700;VELVETFRUIT_EXTRACT;5269;69;;;;;5275;69;;;;;5272.0;2.00341796875
