timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;VELVETFRUIT_EXTRACT;XIRECS;5270.0;1
900;;;VELVETFRUIT_EXTRACT;XIRECS;5262.0;8
2700;;;VELVETFRUIT_EXTRACT;XIRECS;5269.0;8
2900;;;VELVETFRUIT_EXTRACT;XIRECS;5272.0;8
4800;;;VELVETFRUIT_EXTRACT;XIRECS;5273.0;3
5700;;;VELVETFRUIT_EXTRACT;XIRECS;5273.0;5
9900;;;VELVETFRUIT_EXTRACT;XIRECS;5261.0;5
10700;;;VELVETFRUIT_EXTRACT;XIRECS;5265.0;4
12100;;;VELVETFRUIT_EXTRACT;XIRECS;5268.0;5
12600;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;3
13900;;;VELVETFRUIT_EXTRACT;XIRECS;5269.0;4
16300;;;VELVETFRUIT_EXTRACT;XIRECS;5275.0;5
17400;;;VELVETFRUIT_EXTRACT;XIRECS;5274.0;3
23100;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;4
25500;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;6
26500;;;VELVETFRUIT_EXTRACT;XIRECS;5269.0;6
32500;;;VELVETFRUIT_EXTRACT;XIRECS;5266.0;4
33300;;;VELVETFRUIT_EXTRACT;XIRECS;5271.0;7
35700;;;VELVETFRUIT_EXTRACT;XIRECS;5270.0;3
35800;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;7
36100;;;VELVETFRUIT_EXTRACT;XIRECS;5271.0;4
38400;;;VELVETFRUIT_EXTRACT;XIRECS;5265.0;8
41700;;;VELVETFRUIT_EXTRACT;XIRECS;5254.0;5
42000;;;VELVETFRUIT_EXTRACT;XIRECS;5247.0;8
43000;;;VELVETFRUIT_EXTRACT;XIRECS;5250.0;8
44700;;;VELVETFRUIT_EXTRACT;XIRECS;5255.0;8
44900;;;VELVETFRUIT_EXTRACT;XIRECS;5257.0;14
46800;;;VELVETFRUIT_EXTRACT;XIRECS;5256.0;8
48100;;;VELVETFRUIT_EXTRACT;XIRECS;5261.0;7
48400;;;VELVETFRUIT_EXTRACT;XIRECS;5258.0;5
52600;;;VELVETFRUIT_EXTRACT;XIRECS;5263.0;8
53200;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;5
53600;;;VELVETFRUIT_EXTRACT;XIRECS;5257.0;5
59200;;;VELVETFRUIT_EXTRACT;XIRECS;5244.0;8
64300;;;VELVETFRUIT_EXTRACT;XIRECS;5249.0;3
67600;;;VELVETFRUIT_EXTRACT;XIRECS;5262.0;4
70000;;;VELVETFRUIT_EXTRACT;XIRECS;5255.0;6
70400;;;VELVETFRUIT_EXTRACT;XIRECS;5260.0;5
71500;;;VELVETFRUIT_EXTRACT;XIRECS;5251.0;4
73100;;;VELVETFRUIT_EXTRACT;XIRECS;5256.0;7
73200;;;VELVETFRUIT_EXTRACT;XIRECS;5254.0;5
76700;;;VELVETFRUIT_EXTRACT;XIRECS;5258.0;4
82100;;;VELVETFRUIT_EXTRACT;XIRECS;5270.0;5
83000;;;VELVETFRUIT_EXTRACT;XIRECS;5271.0;6
84100;;;VELVETFRUIT_EXTRACT;XIRECS;5272.0;8
84400;;;VELVETFRUIT_EXTRACT;XIRECS;5273.0;5
84800;;;VELVETFRUIT_EXTRACT;XIRECS;5276.0;5
85500;;;VELVETFRUIT_EXTRACT;XIRECS;5273.0;8
91700;;;VELVETFRUIT_EXTRACT;XIRECS;5264.0;8
92600;;;VELVETFRUIT_EXTRACT;XIRECS;5271.0;4
95100;;;VELVETFRUIT_EXTRACT;XIRECS;5262.0;8
97200;;;VELVETFRUIT_EXTRACT;XIRECS;5265.0;7
97400;;;VELVETFRUIT_EXTRACT;XIRECS;5258.0;5
