day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
39;0;HYDROGEL_PACK;10003;13;10001;21;;;10019;13;10022;21;;;10011.0;0.0
39;100;HYDROGEL_PACK;10004;15;10001;26;;;10020;15;10023;26;;;10012.0;-6.9912109375
39;200;HYDROGEL_PACK;10004;15;10002;30;;;10020;15;10023;30;;;10012.0;-6.7255859375
39;300;HYDROGEL_PACK;10005;12;10002;27;;;10021;12;10023;27;;;10013.0;-6.2587890625
39;400;HYDROGEL_PACK;10011;8;10003;12;10001;25;10019;12;10022;25;;;10015.0;-7.95703125
39;500;HYDROGEL_PACK;10002;11;9999;22;;;10018;11;10020;22;;;10010.0;-9.208984375
39;600;HYDROGEL_PACK;10002;13;9999;25;;;10018;13;10020;25;;;10010.0;-9.3583984375
39;700;HYDROGEL_PACK;10003;11;10001;23;;;10019;11;10022;23;;;10011.0;-7.7421875
39;800;HYDROGEL_PACK;10005;12;10003;27;;;10021;12;10024;27;;;10013.0;-5.5908203125
39;900;HYDROGEL_PACK;10009;12;10006;21;;;10025;12;10027;21;;;10017.0;-2.4541015625
39;1000;HYDROGEL_PACK;10012;14;10010;28;;;10028;14;10031;28;;;10020.0;1.2294921875
39;1100;HYDROGEL_PACK;10011;13;10009;28;;;10027;13;10030;28;;;10019.0;0.2294921875
39;1200;HYDROGEL_PACK;10013;12;10010;28;;;10029;12;10031;28;;;10021.0;1.9658203125
39;1300;HYDROGEL_PACK;10013;13;10010;23;;;10029;13;10032;23;;;10021.0;1.99609375
39;1400;HYDROGEL_PACK;10015;10;10012;24;;;10031;10;10033;24;;;10023.0;3.8369140625
39;1500;HYDROGEL_PACK;10017;12;10014;29;;;10024;4;10033;12;10035;29;10020.5;5.5498046875
39;1600;HYDROGEL_PACK;10016;14;10014;23;;;10032;14;10035;23;;;10024.0;5.1435546875
39;1700;HYDROGEL_PACK;10013;13;10010;24;;;10029;13;10031;24;;;10021.0;1.8525390625
39;1800;HYDROGEL_PACK;10011;13;10009;28;;;10027;13;10030;28;;;10019.0;0.294921875
39;1900;HYDROGEL_PACK;10011;15;10009;24;;;10027;15;10030;24;;;10019.0;0.453125
39;2000;HYDROGEL_PACK;10011;13;10009;22;;;10027;13;10030;22;;;10019.0;0.107421875
39;2100;HYDROGEL_PACK;10009;12;10007;25;;;10025;12;10028;25;;;10017.0;-1.763671875
39;2200;HYDROGEL_PACK;10009;10;10007;29;;;10025;10;10028;29;;;10017.0;-1.9189453125
39;2300;HYDROGEL_PACK;10007;14;10004;20;;;10023;14;10025;20;;;10015.0;-4.3037109375
39;2400;HYDROGEL_PACK;10010;10;10007;25;;;10026;10;10028;25;;;10018.0;-1.3095703125
